"conum","year","co_code","co_name","gdp","Pop","TotPop","gold","silver","bronze","MedalTot","TotMedals","host","planned","soviet"
180,80,"CHE","Switzerland",2.52E+011,6319000,4.41E+009,2,0,0,2,630,"No","No","No"
184,80,"TZA","Tanzania",2.69E+009,1.86E+007,4.41E+009,0,2,0,2,630,"No","No","No"
192,80,"UGA","Uganda",2.86E+009,1.28E+007,4.41E+009,0,1,0,1,630,"No","No","No"
195,80,"GBR","United Kingdom",8.00E+011,5.63E+007,4.41E+009,5,7,9,21,630,"No","No","No"
201,80,"VEN","Venezuela",6.03E+010,1.51E+007,4.41E+009,0,1,0,1,630,"No","No","No"
207,80,"ZWE","Zimbabwe",4.49E+009,7009000,4.41E+009,1,0,0,1,630,"No","No","No"
210,80,"CZA","Czechoslovakia",6.87E+010,1.52E+007,4.41E+009,2,3,9,14,630,"No","No","Yes"
211,80,"YUG","Yugoslavia",1.03E+011,2.23E+007,4.41E+009,2,3,4,9,630,"No","Yes","No"
3,84,"DZA","Algeria",3.85E+010,2.12E+007,4.73E+009,0,0,2,2,687,"No","No","No"
11,84,"AUS","Australia",2.58E+011,1.55E+007,4.73E+009,4,8,12,24,687,"No","No","No"
12,84,"AUT","Austria",1.76E+011,7552000,4.73E+009,1,1,1,3,687,"No","No","No"
19,84,"BEL","Belgium",2.19E+011,9853000,4.73E+009,1,1,2,4,687,"No","No","No"
27,84,"BRA","Brazil",5.06E+011,1.33E+008,4.73E+009,1,5,2,8,687,"No","No","No"
35,84,"CAN","Canada",4.39E+011,2.57E+007,4.73E+009,10,18,16,44,687,"No","No","No"
41,84,"CHN","China",2.40E+011,1.04E+009,4.73E+009,15,8,9,32,687,"No","Yes","No"
42,84,"COL","Colombia",4.98E+010,3.10E+007,4.73E+009,0,1,0,1,687,"No","No","No"
48,84,"CIV","Cote d'Ivoire",8.22E+009,9532520,4.73E+009,0,1,0,1,687,"No","No","No"
53,84,"DNK","Denmark",1.46E+011,5112000,4.73E+009,0,3,3,6,687,"No","No","No"
56,84,"DOM","Dominican Republic",8.37E+009,6235340,4.73E+009,0,0,1,1,687,"No","No","No"
58,84,"EGY","Egypt, Arab Rep.",3.82E+010,4.53E+007,4.73E+009,0,1,0,1,687,"No","No","No"
65,84,"FIN","Finland",1.06E+011,4882000,4.73E+009,4,2,6,12,687,"No","No","No"
68,84,"FRA","France",1.22E+012,5.49E+007,4.73E+009,5,7,16,28,687,"No","No","No"
73,84,"GFD","West Germany",1.47E+012,6.09E+007,4.73E+009,17,19,23,59,687,"No","No","No"
76,84,"GRC","Greece",9.37E+010,9896000,4.73E+009,0,1,1,2,687,"No","No","No"
87,84,"ISL","Iceland",5.59E+009,239000,4.73E+009,0,0,1,1,687,"No","No","No"
92,84,"IRL","Ireland",3.74E+010,3529000,4.73E+009,0,1,0,1,687,"No","No","No"
94,84,"ITA","Italy",8.65E+011,5.66E+007,4.73E+009,14,6,12,32,687,"No","No","No"
95,84,"JAM","Jamaica",3.27E+009,2279900,4.73E+009,0,1,2,3,687,"No","No","No"
96,84,"JPN","Japan",3.65E+012,1.20E+008,4.73E+009,10,8,14,32,687,"No","No","No"
99,84,"KEN","Kenya",6.10E+009,1.92E+007,4.73E+009,1,0,2,3,687,"No","No","No"
101,84,"KOR","South Korea",1.85E+011,4.04E+007,4.73E+009,6,6,7,19,687,"No","No","No"
124,84,"MEX","Mexico",2.35E+011,7.39E+007,4.73E+009,2,3,1,6,687,"No","No","No"
129,84,"MAR","Morocco",2.39E+010,2.12E+007,4.73E+009,2,0,0,2,687,"No","No","No"
135,84,"NLD","Netherlands",2.98E+011,1.44E+007,4.73E+009,5,2,6,13,687,"No","No","No"
137,84,"NZL","New Zealand",5.02E+010,3252800,4.73E+009,8,1,2,11,687,"No","No","No"
140,84,"NGA","Nigeria",1.76E+010,8.07E+007,4.73E+009,0,1,1,2,687,"No","No","No"
142,84,"NOR","Norway",1.07E+011,4140000,4.73E+009,0,1,2,3,687,"No","No","No"
144,84,"PAK","Pakistan",3.39E+010,9.23E+007,4.73E+009,1,0,0,1,687,"No","No","No"
148,84,"PER","Peru",4.68E+010,1.91E+007,4.73E+009,0,1,0,1,687,"No","No","No"
151,84,"PRT","Portugal",7.14E+010,9989000,4.73E+009,1,0,2,3,687,"No","No","No"
152,84,"PTO","Puerto Rico",2.86E+010,3344840,4.73E+009,0,1,1,2,687,"No","No","No"
154,84,"ROM","Romania",4.26E+010,2.26E+007,4.73E+009,20,16,17,53,687,"No","No","Yes"
171,84,"ESP","Spain",4.13E+011,3.83E+007,4.73E+009,1,2,2,5,687,"No","No","No"
179,84,"SWE","Sweden",1.98E+011,8337000,4.73E+009,2,11,6,19,687,"No","No","No"
180,84,"CHE","Switzerland",2.61E+011,6442000,4.73E+009,0,4,4,8,687,"No","No","No"
181,84,"SYR","Syrian Arab Republic",1.01E+010,1.00E+007,4.73E+009,0,1,0,1,687,"No","No","No"
182,84,"TAW","Taiwan",5.98E+010,1.90E+007,4.73E+009,0,0,1,1,687,"No","No","No"
185,84,"THA","Thailand",6.53E+010,5.04E+007,4.73E+009,0,1,0,1,687,"No","No","No"
190,84,"TUR","Turkey",1.05E+011,4.91E+007,4.73E+009,0,0,3,3,687,"No","No","No"
195,84,"GBR","United Kingdom",8.51E+011,5.65E+007,4.73E+009,5,10,22,37,687,"No","No","No"
196,84,"USA","United States",5.36E+012,2.36E+008,4.73E+009,83,61,30,174,687,"Yes","No","No"
201,84,"VEN","Venezuela",5.74E+010,1.67E+007,4.73E+009,0,0,3,3,687,"No","No","No"
206,84,"ZMB","Zambia",3.21E+009,6503080,4.73E+009,0,0,1,1,687,"No","No","No"
211,84,"YUG","Yugoslavia",1.08E+011,2.30E+007,4.73E+009,7,4,7,18,687,"No","Yes","No"
8,88,"ARG","Argentina",2.31E+011,3.17E+007,5.08E+009,0,1,1,2,738,"No","No","No"
11,88,"AUS","Australia",3.00E+011,1.65E+007,5.08E+009,3,6,5,14,738,"No","No","No"
12,88,"AUT","Austria",1.93E+011,7595000,5.08E+009,1,0,0,1,738,"No","No","No"
19,88,"BEL","Belgium",2.41E+011,9902000,5.08E+009,0,0,2,2,738,"No","No","No"
27,88,"BRA","Brazil",6.10E+011,1.43E+008,5.08E+009,1,2,3,6,738,"No","No","No"
30,88,"BGR","Bulgaria",1.70E+010,8981000,5.08E+009,10,12,13,35,738,"No","No","Yes"
35,88,"CAN","Canada",5.19E+011,2.69E+007,5.08E+009,3,2,5,10,738,"No","No","No"
40,88,"CHL","Chile",3.41E+010,1.27E+007,5.08E+009,0,1,0,1,738,"No","No","No"
41,88,"CHN","China",3.68E+011,1.10E+009,5.08E+009,5,11,12,28,738,"No","Yes","No"
42,88,"COL","Colombia",5.96E+010,3.36E+007,5.08E+009,0,0,1,1,738,"No","No","No"
47,88,"CRI","Costa Rica",6.58E+009,2885610,5.08E+009,0,1,0,1,738,"No","No","No"
53,88,"DNK","Denmark",1.60E+011,5130000,5.08E+009,2,1,1,4,738,"No","No","No"
54,88,"DJI","Djibouti",5.27E+008,467200,5.08E+009,0,0,1,1,738,"No","No","No"
65,88,"FIN","Finland",1.22E+011,4951000,5.08E+009,1,1,2,4,738,"No","No","No"
68,88,"FRA","France",1.36E+012,5.59E+007,5.08E+009,6,4,6,16,738,"No","No","No"
72,88,"GDR","East Germany",1.98E+011,1.64E+007,5.08E+009,37,35,30,102,738,"No","No","Yes"
73,88,"GFD","West Germany",1.64E+012,6.12E+007,5.08E+009,11,14,15,40,738,"No","No","No"
76,88,"GRC","Greece",1.02E+011,1.00E+007,5.08E+009,0,0,1,1,738,"No","No","No"
86,88,"HUN","Hungary",5.18E+010,1.04E+007,5.08E+009,11,6,6,23,738,"No","No","Yes"
89,88,"IDN","Indonesia",1.17E+011,1.72E+008,5.08E+009,0,1,0,1,738,"No","No","No"
90,88,"IRN","Iran, Islamic Rep.",6.23E+010,5.19E+007,5.08E+009,0,1,0,1,738,"No","No","No"
94,88,"ITA","Italy",9.79E+011,5.66E+007,5.08E+009,6,4,4,14,738,"No","No","No"
95,88,"JAM","Jamaica",3.52E+009,2356400,5.08E+009,0,2,0,2,738,"No","No","No"
96,88,"JPN","Japan",4.34E+012,1.23E+008,5.08E+009,4,3,7,14,738,"No","No","No"
99,88,"KEN","Kenya",7.67E+009,2.20E+007,5.08E+009,5,2,2,9,738,"No","No","No"
101,88,"KOR","South Korea",2.73E+011,4.20E+007,5.08E+009,12,10,11,33,738,"Yes","No","No"
124,88,"MEX","Mexico",2.42E+011,8.01E+007,5.08E+009,0,0,2,2,738,"No","No","No"
128,88,"MNG","Mongolia",1.09E+009,2095660,5.08E+009,0,0,1,1,738,"No","No","No"
129,88,"MAR","Morocco",2.96E+010,2.31E+007,5.08E+009,1,0,2,3,738,"No","No","No"
135,88,"NLD","Netherlands",3.29E+011,1.48E+007,5.08E+009,2,2,5,9,738,"No","No","No"
136,88,"NLA","Netherlands Antilles",1.70E+009,185980,5.08E+009,0,1,0,1,738,"No","No","No"
137,88,"NZL","New Zealand",5.18E+010,3317000,5.08E+009,3,2,8,13,738,"No","No","No"
142,88,"NOR","Norway",1.19E+011,4209000,5.08E+009,2,3,0,5,738,"No","No","No"
144,88,"PAK","Pakistan",4.41E+010,1.03E+008,5.08E+009,0,0,1,1,738,"No","No","No"
148,88,"PER","Peru",5.20E+010,2.08E+007,5.08E+009,0,1,0,1,738,"No","No","No"
149,88,"PHL","Philippines",6.09E+010,5.94E+007,5.08E+009,0,0,1,1,738,"No","No","No"
150,88,"POL","Poland",1.20E+011,3.79E+007,5.08E+009,2,5,9,16,738,"No","No","Yes"
151,88,"PRT","Portugal",8.74E+010,9968000,5.08E+009,1,0,0,1,738,"No","No","No"
154,88,"ROM","Romania",4.12E+010,2.31E+007,5.08E+009,7,11,6,24,738,"No","No","Yes"
155,88,"RSI","Russian Federation (former USSR)",1.24E+012,2.85E+008,5.08E+009,55,31,46,132,738,"No","No","Yes"
162,88,"SEN","Senegal",4.09E+009,6932730,5.08E+009,0,1,0,1,738,"No","No","No"
171,88,"ESP","Spain",4.82E+011,3.87E+007,5.08E+009,1,1,2,4,738,"No","No","No"
177,88,"SUR","Suriname",2.85E+008,396930,5.08E+009,1,0,0,1,738,"No","No","No"
179,88,"SWE","Sweden",2.18E+011,8436000,5.08E+009,0,4,7,11,738,"No","No","No"
180,88,"CHE","Switzerland",2.85E+011,6569000,5.08E+009,0,2,2,4,738,"No","No","No"
185,88,"THA","Thailand",8.94E+010,5.37E+007,5.08E+009,0,0,1,1,738,"No","No","No"
190,88,"TUR","Turkey",1.32E+011,5.37E+007,5.08E+009,1,1,0,2,738,"No","No","No"
195,88,"GBR","United Kingdom",1.01E+012,5.72E+007,5.08E+009,5,10,9,24,738,"No","No","No"
196,88,"USA","United States",6.07E+012,2.44E+008,5.08E+009,36,31,27,94,738,"No","No","No"
210,88,"CZA","Czechoslovakia",7.73E+010,1.56E+007,5.08E+009,3,3,2,8,738,"No","No","Yes"
211,88,"YUG","Yugoslavia",1.07E+011,2.36E+007,5.08E+009,3,4,5,12,738,"No","Yes","No"
3,92,"DZA","Algeria",4.11E+010,2.63E+007,5.42E+009,1,0,1,2,815,"No","No","No"
8,92,"ARG","Argentina",2.56E+011,3.34E+007,5.42E+009,0,0,1,1,815,"No","No","No"
11,92,"AUS","Australia",3.19E+011,1.75E+007,5.42E+009,7,9,11,27,815,"No","No","No"
12,92,"AUT","Austria",2.20E+011,7911400,5.42E+009,0,2,0,2,815,"No","No","No"
14,92,"BHS","Bahamas",3.40E+009,262490,5.42E+009,0,0,1,1,815,"No","No","No"
19,92,"BEL","Belgium",2.65E+011,1.00E+007,5.42E+009,0,1,2,3,815,"No","No","No"
27,92,"BRA","Brazil",6.08E+011,1.53E+008,5.42E+009,2,1,0,3,815,"No","No","No"
30,92,"BGR","Bulgaria",1.27E+010,8540000,5.42E+009,3,7,6,16,815,"No","No","No"
35,92,"CAN","Canada",5.27E+011,2.85E+007,5.42E+009,6,5,7,18,815,"No","No","No"
41,92,"CHN","China",4.96E+011,1.16E+009,5.42E+009,16,22,16,54,815,"No","Yes","No"
42,92,"COL","Colombia",6.82E+010,3.64E+007,5.42E+009,0,0,1,1,815,"No","No","No"
49,92,"HRV","Croatia",1.70E+010,4782300,5.42E+009,0,1,2,3,815,"No","No","No"
50,92,"CUB","Cuba",1.97E+010,1.08E+007,5.42E+009,14,6,11,31,815,"No","No","Yes"
53,92,"DNK","Denmark",1.67E+011,5170000,5.42E+009,1,1,4,6,815,"No","No","No"
62,92,"EST","Estonia",5.11E+009,1544000,5.42E+009,1,0,1,2,815,"No","No","No"
63,92,"ETH","Ethiopia",4.78E+009,5.48E+007,5.42E+009,1,0,2,3,815,"No","No","No"
65,92,"FIN","Finland",1.16E+011,5042000,5.42E+009,1,2,2,5,815,"No","No","No"
68,92,"FRA","France",1.48E+012,5.74E+007,5.42E+009,8,5,16,29,815,"No","No","No"
74,92,"DEU","Germany",2.34E+012,8.06E+007,5.42E+009,33,21,28,82,815,"No","No","No"
75,92,"GHA","Ghana",5.73E+009,1.58E+007,5.42E+009,0,0,1,1,815,"No","No","No"
76,92,"GRC","Greece",1.10E+011,1.03E+007,5.42E+009,2,0,0,2,815,"No","No","No"
86,92,"HUN","Hungary",4.30E+010,1.03E+007,5.42E+009,11,12,7,30,815,"No","No","No"
89,92,"IDN","Indonesia",1.62E+011,1.85E+008,5.42E+009,2,2,1,5,815,"No","No","No"
90,92,"IRN","Iran, Islamic Rep.",8.49E+010,5.62E+007,5.42E+009,0,1,2,3,815,"No","No","No"
92,92,"IRL","Ireland",5.20E+010,3549100,5.42E+009,1,1,0,2,815,"No","No","No"
93,92,"ISR","Israel",7.17E+010,5123000,5.42E+009,0,1,1,2,815,"No","No","No"
94,92,"ITA","Italy",1.05E+012,5.69E+007,5.42E+009,6,5,8,19,815,"No","No","No"
95,92,"JAM","Jamaica",4.06E+009,2448000,5.42E+009,0,3,1,4,815,"No","No","No"
96,92,"JPN","Japan",5.01E+012,1.24E+008,5.42E+009,3,8,11,22,815,"No","No","No"
99,92,"KEN","Kenya",8.42E+009,2.50E+007,5.42E+009,2,4,2,8,815,"No","No","No"
101,92,"KOR","South Korea",3.65E+011,4.37E+007,5.42E+009,12,5,12,29,815,"No","No","No"
105,92,"LVA","Latvia",7.35E+009,2631600,5.42E+009,0,2,1,3,815,"No","No","No"
111,92,"LTU","Lithuania",8.82E+009,3742000,5.42E+009,1,0,1,2,815,"No","No","No"
117,92,"MYS","Malaysia",6.74E+010,1.91E+007,5.42E+009,0,0,1,1,815,"No","No","No"
124,92,"MEX","Mexico",2.86E+011,8.63E+007,5.42E+009,0,1,0,1,815,"No","No","No"
128,92,"MNG","Mongolia",9.07E+008,2307170,5.42E+009,0,0,2,2,815,"No","No","No"
129,92,"MAR","Morocco",3.23E+010,2.50E+007,5.42E+009,1,1,1,3,815,"No","No","No"
132,92,"NAM","Namibia",3.09E+009,1424880,5.42E+009,0,2,0,2,815,"No","No","No"
135,92,"NLD","Netherlands",3.74E+011,1.52E+007,5.42E+009,2,6,7,15,815,"No","No","No"
137,92,"NZL","New Zealand",5.19E+010,3442500,5.42E+009,1,4,5,10,815,"No","No","No"
140,92,"NGA","Nigeria",2.70E+010,1.02E+008,5.42E+009,0,3,1,4,815,"No","No","No"
141,92,"NKR","North Korea",2.46E+010,2.11E+007,5.42E+009,4,0,5,9,815,"No","Yes","No"
142,92,"NOR","Norway",1.30E+011,4286400,5.42E+009,2,4,1,7,815,"No","No","No"
144,92,"PAK","Pakistan",5.50E+010,1.14E+008,5.42E+009,0,0,1,1,815,"No","No","No"
148,92,"PER","Peru",4.57E+010,2.24E+007,5.42E+009,0,1,0,1,815,"No","No","No"
149,92,"PHL","Philippines",6.65E+010,6.56E+007,5.42E+009,0,0,1,1,815,"No","No","No"
150,92,"POL","Poland",1.02E+011,3.84E+007,5.42E+009,3,6,10,19,815,"No","No","No"
152,92,"PTO","Puerto Rico",4.19E+010,3604000,5.42E+009,0,0,1,1,815,"No","No","No"
153,92,"QAT","Qatar",9.56E+009,533000,5.42E+009,0,0,1,1,815,"No","No","No"
154,92,"ROM","Romania",2.91E+010,2.28E+007,5.42E+009,4,6,8,18,815,"No","No","No"
156,92,"RUS","Russian Federation",4.54E+011,1.49E+008,5.42E+009,45,38,29,112,815,"No","No","Yes"
167,92,"SVN","Slovenia",1.66E+010,1996600,5.42E+009,0,0,2,2,815,"No","No","No"
170,92,"ZAF","South Africa",1.24E+011,3.67E+007,5.42E+009,0,2,0,2,815,"No","No","No"
171,92,"ESP","Spain",5.39E+011,3.90E+007,5.42E+009,13,7,2,22,815,"Yes","No","No"
177,92,"SUR","Suriname",3.40E+008,405470,5.42E+009,0,0,1,1,815,"No","No","No"
179,92,"SWE","Sweden",2.20E+011,8668000,5.42E+009,1,7,4,12,815,"No","No","No"
180,92,"CHE","Switzerland",3.06E+011,6875000,5.42E+009,1,0,0,1,815,"No","No","No"
182,92,"TAW","Taiwan",2.16E+011,2.08E+007,5.42E+009,0,1,0,1,815,"No","No","No"
185,92,"THA","Thailand",1.31E+011,5.73E+007,5.42E+009,0,0,1,1,815,"No","No","No"
190,92,"TUR","Turkey",1.55E+011,5.84E+007,5.42E+009,2,2,2,6,815,"No","No","No"
195,92,"GBR","United Kingdom",1.01E+012,5.80E+007,5.42E+009,5,3,12,20,815,"No","No","No"
196,92,"USA","United States",6.46E+012,2.55E+008,5.42E+009,37,34,37,108,815,"No","No","No"
205,92,"YUG","Yugoslavia",2.59E+010,1.05E+007,5.42E+009,0,1,2,3,815,"No","No","No"
210,92,"CZA","Czechoslovakia",6.32E+010,1.56E+007,5.42E+009,4,2,1,7,815,"No","No","No"
3,96,"DZA","Algeria",4.28E+010,2.87E+007,5.74E+009,2,0,1,3,842,"No","No","No"
8,96,"ARG","Argentina",2.94E+011,3.52E+007,5.74E+009,0,2,1,3,842,"No","No","No"
9,96,"ARM","Armenia",3.05E+009,3774000,5.74E+009,1,1,0,2,842,"No","No","No"
11,96,"AUS","Australia",3.76E+011,1.83E+007,5.74E+009,9,9,23,41,842,"No","No","No"
12,96,"AUT","Austria",2.35E+011,8059000,5.74E+009,0,1,2,3,842,"No","No","No"
13,96,"AZE","Azerbaijan",3.54E+009,7555000,5.74E+009,0,1,0,1,842,"No","No","No"
14,96,"BHS","Bahamas",3.45E+009,284000,5.74E+009,0,1,0,1,842,"No","No","No"
18,96,"BLR","Belarus",1.90E+010,1.03E+007,5.74E+009,1,6,8,15,842,"No","No","No"
19,96,"BEL","Belgium",2.77E+011,1.02E+007,5.74E+009,2,2,2,6,842,"No","No","No"
27,96,"BRA","Brazil",7.24E+011,1.62E+008,5.74E+009,3,3,9,15,842,"No","No","No"
30,96,"BGR","Bulgaria",1.18E+010,8356000,5.74E+009,3,7,5,15,842,"No","No","No"
32,96,"BDI","Burundi",9.14E+008,6292590,5.74E+009,1,0,0,1,842,"No","No","No"
35,96,"CAN","Canada",5.80E+011,3.00E+007,5.74E+009,3,11,8,22,842,"No","No","No"
41,96,"CHN","China",7.67E+011,1.22E+009,5.74E+009,16,22,12,50,842,"No","Yes","No"
47,96,"CRI","Costa Rica",8.97E+009,3420000,5.74E+009,1,0,0,1,842,"No","No","No"
49,96,"HRV","Croatia",1.89E+010,4770900,5.74E+009,1,1,0,2,842,"No","No","No"
50,96,"CUB","Cuba",1.77E+010,1.10E+007,5.74E+009,9,8,8,25,842,"No","No","Yes"
52,96,"CZE","Czech Republic",5.28E+010,1.03E+007,5.74E+009,4,3,4,11,842,"No","No","No"
53,96,"DNK","Denmark",1.87E+011,5262000,5.74E+009,4,1,1,6,842,"No","No","No"
57,96,"ECU","Ecuador",1.83E+010,1.17E+007,5.74E+009,1,0,0,1,842,"No","No","No"
63,96,"ETH","Ethiopia",6.39E+009,5.82E+007,5.74E+009,2,0,1,3,842,"No","No","No"
65,96,"FIN","Finland",1.30E+011,5125000,5.74E+009,1,2,1,4,842,"No","No","No"
68,96,"FRA","France",1.56E+012,5.84E+007,5.74E+009,15,7,15,37,842,"No","No","No"
71,96,"GEO","Georgia",3.35E+009,5420000,5.74E+009,0,0,2,2,842,"No","No","No"
74,96,"DEU","Germany",2.45E+012,8.19E+007,5.74E+009,20,18,27,65,842,"No","No","No"
76,96,"GRC","Greece",1.18E+011,1.05E+007,5.74E+009,4,4,0,8,842,"No","No","No"
85,96,"HKG","Hong Kong",1.46E+011,6311000,5.74E+009,1,0,0,1,842,"No","No","No"
86,96,"HUN","Hungary",4.53E+010,1.02E+007,5.74E+009,7,4,10,21,842,"No","No","No"
88,96,"IND","India",3.59E+011,9.46E+008,5.74E+009,0,0,1,1,842,"No","No","No"
89,96,"IDN","Indonesia",2.18E+011,1.97E+008,5.74E+009,1,1,2,4,842,"No","No","No"
90,96,"IRN","Iran, Islamic Rep.",9.25E+010,5.99E+007,5.74E+009,1,1,1,3,842,"No","No","No"
92,96,"IRL","Ireland",7.01E+010,3632000,5.74E+009,3,0,1,4,842,"No","No","No"
93,96,"ISR","Israel",9.06E+010,5692000,5.74E+009,0,0,1,1,842,"No","No","No"
94,96,"ITA","Italy",1.10E+012,5.74E+007,5.74E+009,13,10,12,35,842,"No","No","No"
95,96,"JAM","Jamaica",4.11E+009,2538000,5.74E+009,1,3,2,6,842,"No","No","No"
96,96,"JPN","Japan",5.34E+012,1.26E+008,5.74E+009,3,6,5,14,842,"No","No","No"
98,96,"KAZ","Kazakhstan",2.00E+010,1.59E+007,5.74E+009,3,4,4,11,842,"No","No","No"
99,96,"KEN","Kenya",9.43E+009,2.79E+007,5.74E+009,1,4,3,8,842,"No","No","No"
101,96,"KOR","South Korea",4.89E+011,4.55E+007,5.74E+009,7,15,5,27,842,"No","No","No"
105,96,"LVA","Latvia",6.46E+009,2491000,5.74E+009,0,1,0,1,842,"No","No","No"
111,96,"LTU","Lithuania",7.21E+009,3709000,5.74E+009,0,0,1,1,842,"No","No","No"
117,96,"MYS","Malaysia",9.48E+010,2.11E+007,5.74E+009,0,1,1,2,842,"No","No","No"
124,96,"MEX","Mexico",3.01E+011,9.27E+007,5.74E+009,0,0,1,1,842,"No","No","No"
126,96,"MDA","Moldova",2.85E+009,4325000,5.74E+009,0,1,1,2,842,"No","No","No"
128,96,"MNG","Mongolia",9.81E+008,2497750,5.74E+009,0,0,1,1,842,"No","No","No"
129,96,"MAR","Morocco",3.70E+010,2.68E+007,5.74E+009,0,0,2,2,842,"No","No","No"
130,96,"MOZ","Mozambique",2.07E+009,1.62E+007,5.74E+009,0,0,1,1,842,"No","No","No"
132,96,"NAM","Namibia",3.43E+009,1582930,5.74E+009,0,2,0,2,842,"No","No","No"
135,96,"NLD","Netherlands",4.11E+011,1.55E+007,5.74E+009,4,5,10,19,842,"No","No","No"
137,96,"NZL","New Zealand",6.18E+010,3714000,5.74E+009,3,2,1,6,842,"No","No","No"
140,96,"NGA","Nigeria",2.99E+010,1.15E+008,5.74E+009,2,1,3,6,842,"No","No","No"
141,96,"NKR","North Korea",2.33E+010,2.26E+007,5.74E+009,2,1,2,5,842,"No","Yes","No"
142,96,"NOR","Norway",1.55E+011,4381000,5.74E+009,2,2,3,7,842,"No","No","No"
149,96,"PHL","Philippines",7.85E+010,7.19E+007,5.74E+009,0,1,0,1,842,"No","No","No"
150,96,"POL","Poland",1.26E+011,3.86E+007,5.74E+009,7,5,5,17,842,"No","No","No"
151,96,"PRT","Portugal",1.08E+011,9930000,5.74E+009,1,0,1,2,842,"No","No","No"
152,96,"PTO","Puerto Rico",4.72E+010,3783000,5.74E+009,0,0,1,1,842,"No","No","No"
154,96,"ROM","Romania",3.41E+010,2.26E+007,5.74E+009,4,7,9,20,842,"No","No","No"
156,96,"RUS","Russian Federation",3.35E+011,1.48E+008,5.74E+009,26,21,16,63,842,"No","No","No"
166,96,"SVK","Slovak Republic",1.85E+010,5343000,5.74E+009,1,1,1,3,842,"No","No","No"
167,96,"SVN","Slovenia",1.93E+010,1991000,5.74E+009,0,2,0,2,842,"No","No","No"
170,96,"ZAF","South Africa",1.38E+011,3.99E+007,5.74E+009,3,1,1,5,842,"No","No","No"
171,96,"ESP","Spain",5.72E+011,3.93E+007,5.74E+009,5,6,6,17,842,"No","No","No"
179,96,"SWE","Sweden",2.34E+011,8843000,5.74E+009,2,4,2,8,842,"No","No","No"
180,96,"CHE","Switzerland",3.07E+011,7074000,5.74E+009,4,3,0,7,842,"No","No","No"
181,96,"SYR","Syrian Arab Republic",1.69E+010,1.45E+007,5.74E+009,1,0,0,1,842,"No","No","No"
182,96,"TAW","Taiwan",2.75E+011,2.15E+007,5.74E+009,0,1,0,1,842,"No","No","No"
185,96,"THA","Thailand",1.77E+011,6.00E+007,5.74E+009,1,0,1,2,842,"No","No","No"
187,96,"TON","Tonga",1.61E+008,97400,5.74E+009,0,1,0,1,842,"No","No","No"
188,96,"TTO","Trinidad and Tobago",5.49E+009,1297000,5.74E+009,0,0,2,2,842,"No","No","No"
189,96,"TUN","Tunisia",1.93E+010,9077170,5.74E+009,0,0,1,1,842,"No","No","No"
190,96,"TUR","Turkey",1.81E+011,6.27E+007,5.74E+009,4,1,1,6,842,"No","No","No"
192,96,"UGA","Uganda",6.28E+009,1.97E+007,5.74E+009,0,0,1,1,842,"No","No","No"
193,96,"UKR","Ukraine",7.73E+010,5.11E+007,5.74E+009,9,2,12,23,842,"No","No","No"
195,96,"GBR","United Kingdom",1.13E+012,5.88E+007,5.74E+009,1,8,6,15,842,"No","No","No"
196,96,"USA","United States",7.28E+012,2.65E+008,5.74E+009,44,32,25,101,842,"Yes","No","No"
199,96,"UZB","Uzbekistan",2.28E+010,2.32E+007,5.74E+009,0,1,1,2,842,"No","No","No"
205,96,"YUG","Yugoslavia",2.25E+010,1.06E+007,5.74E+009,1,1,2,4,842,"No","No","No"
206,96,"ZMB","Zambia",3.72E+009,9214400,5.74E+009,0,1,0,1,842,"No","No","No"
