"","X","wage","educ","race","sex","hispanic","south","married","exper","union","age","sector"
"2",2,5.5,12,"W","M","NH","NS","Married",20,"Not",38,"sales"
"3",3,3.8,12,"W","F","NH","NS","Single",4,"Not",22,"sales"
"7",7,9.57,12,"W","F","NH","NS","Married",5,"Union",23,"service"
"8",8,15,14,"W","M","NH","NS","Single",22,"Not",42,"sales"
"9",9,11,8,"W","M","NH","NS","Married",42,"Not",56,"manuf"
"10",10,5,12,"W","F","NH","NS","Married",14,"Not",32,"sales"
"13",13,25,14,"W","M","Hisp","NS","Single",4,"Union",24,"service"
"16",16,5,14,"W","M","Hisp","NS","Single",0,"Not",20,"sales"
"19",19,5.83,13,"NW","M","NH","NS","Single",3,"Not",22,"service"
"22",22,13,12,"NW","M","NH","NS","Married",25,"Union",43,"service"
"24",24,4.28,12,"W","F","NH","NS","Married",38,"Not",56,"service"
"26",26,6.94,12,"W","F","NH","NS","Single",7,"Not",25,"service"
"29",29,13.75,14,"W","M","NH","NS","Married",21,"Not",41,"sales"
"31",31,14.67,14,"NW","M","NH","NS","Married",16,"Not",36,"service"
"33",33,12,12,"W","M","NH","NS","Married",14,"Not",32,"manuf"
"35",35,5.77,16,"W","M","NH","NS","Single",3,"Not",25,"service"
"49",49,4.5,12,"W","F","NH","NS","Married",7,"Not",25,"manuf"
"51",51,3.5,9,"W","M","NH","NS","Married",47,"Union",62,"service"
"52",52,15,16,"W","M","NH","NS","Married",12,"Not",34,"manuf"
"59",59,3.75,12,"W","F","NH","NS","Single",41,"Not",59,"service"
"62",62,8.89,8,"NW","F","NH","NS","Single",29,"Not",43,"service"
"63",63,4,12,"NW","M","NH","NS","Single",6,"Union",24,"manuf"
"67",67,7,12,"W","M","NH","NS","Married",5,"Not",23,"sales"
"70",70,7.5,12,"W","F","NH","NS","Single",10,"Not",28,"service"
"72",72,10,10,"W","F","NH","NS","Married",25,"Union",41,"service"
"76",76,14.29,14,"W","F","NH","NS","Married",32,"Not",52,"sales"
"77",77,9.75,15,"W","F","NH","NS","Married",9,"Not",30,"manuf"
"78",78,3.35,12,"W","F","NH","NS","Single",0,"Not",18,"service"
"79",79,3.4,8,"W","F","NH","NS","Single",49,"Not",63,"service"
"83",83,6.1,10,"W","F","NH","NS","Single",44,"Union",60,"manuf"
"84",84,4.17,12,"W","F","NH","NS","Married",27,"Not",45,"service"
"85",85,4.8,12,"W","F","NH","NS","Married",16,"Not",34,"manuf"
"90",90,4.95,9,"W","F","NH","NS","Married",42,"Not",57,"manuf"
"92",92,19.98,12,"W","M","NH","NS","Married",23,"Not",41,"manuf"
"95",95,10.58,14,"W","M","NH","NS","Married",25,"Not",45,"manuf"
"96",96,10,12,"NW","M","NH","NS","Single",22,"Union",40,"manuf"
"99",99,4,16,"W","F","NH","NS","Single",20,"Not",42,"service"
"105",105,3.6,12,"W","F","Hisp","S","Married",43,"Not",61,"service"
"107",107,4.75,12,"W","F","NH","S","Single",10,"Not",28,"sales"
"108",108,6.73,12,"W","M","NH","S","Married",2,"Not",20,"manuf"
"109",109,11.11,12,"W","M","NH","S","Married",28,"Not",46,"sales"
"110",110,6,7,"W","F","NH","S","Married",15,"Not",28,"manuf"
"111",111,10,12,"W","M","NH","S","Married",20,"Not",38,"sales"
"113",113,3.95,12,"W","F","NH","S","Married",9,"Not",27,"service"
"119",119,4.5,7,"W","M","Hisp","S","Married",14,"Not",27,"service"
"121",121,12.2,14,"W","M","NH","S","Married",10,"Not",30,"manuf"
"125",125,19.98,14,"W","M","NH","S","Married",44,"Not",64,"sales"
"127",127,9.63,14,"W","M","NH","NS","Married",22,"Union",42,"service"
"138",138,3.75,2,"W","M","Hisp","NS","Single",16,"Not",24,"service"
"143",143,9,16,"NW","F","NH","NS","Married",6,"Not",28,"service"
"144",144,13.12,12,"NW","F","NH","NS","Married",33,"Not",51,"service"
"146",146,9.25,12,"W","M","NH","NS","Single",19,"Not",37,"manuf"
"156",156,9,12,"W","M","NH","NS","Married",16,"Not",34,"sales"
"161",161,8.89,12,"W","M","NH","NS","Married",18,"Not",36,"manuf"
"163",163,3.35,14,"NW","M","NH","NS","Single",0,"Not",20,"service"
"169",169,4.17,14,"W","F","NH","NS","Single",24,"Not",44,"service"
"170",170,9.83,12,"W","M","NH","NS","Married",23,"Not",41,"manuf"
"171",171,6.67,12,"W","M","NH","NS","Single",1,"Not",19,"manuf"
"175",175,5,12,"W","F","NH","NS","Married",14,"Not",32,"service"
"178",178,6.28,12,"W","F","NH","NS","Married",38,"Not",56,"manuf"
"179",179,4.5,12,"W","F","NH","NS","Single",3,"Not",21,"manuf"
"181",181,6.75,10,"W","M","NH","NS","Married",13,"Not",29,"manuf"
"183",183,13.28,16,"W","M","NH","NS","Married",11,"Not",33,"manuf"
"185",185,8.99,12,"W","F","NH","NS","Single",15,"Union",33,"service"
"186",186,7.5,14,"W","M","NH","NS","Single",2,"Not",22,"sales"
"192",192,9.5,9,"W","F","NH","NS","Married",46,"Union",61,"service"
"193",193,3,6,"W","F","Hisp","NS","Married",43,"Union",55,"manuf"
"195",195,4,12,"W","F","NH","NS","Single",15,"Not",33,"sales"
"196",196,3.8,12,"W","F","NH","NS","Single",16,"Not",34,"service"
"198",198,5,12,"W","F","NH","NS","Married",28,"Not",46,"manuf"
"200",200,5.55,11,"W","F","NH","NS","Single",45,"Union",62,"service"
"203",203,8.49,12,"W","F","NH","NS","Married",24,"Not",42,"service"
"205",205,22.2,12,"W","M","NH","NS","Married",26,"Union",44,"manuf"
"208",208,3.5,10,"W","F","NH","S","Single",33,"Not",49,"service"
"209",209,3.35,13,"W","F","NH","S","Married",2,"Not",21,"sales"
"210",210,3.35,16,"NW","F","NH","S","Married",14,"Not",36,"sales"
"216",216,1.75,12,"W","F","NH","S","Married",5,"Not",23,"service"
"218",218,8.75,10,"W","M","NH","S","Single",19,"Not",35,"service"
"220",220,3.75,12,"NW","F","NH","S","Married",6,"Not",24,"manuf"
"221",221,5.95,13,"W","M","NH","S","Married",9,"Not",28,"service"
"222",222,4,12,"W","M","Hisp","S","Single",7,"Not",25,"service"
"223",223,7,3,"W","M","Hisp","S","Married",55,"Not",64,"manuf"
"225",225,4.62,6,"NW","F","NH","S","Single",33,"Not",45,"manuf"
"236",236,7.65,12,"W","M","NH","NS","Single",20,"Not",38,"service"
"238",238,6.4,12,"W","F","NH","NS","Married",45,"Not",63,"sales"
"240",240,12.5,12,"W","M","NH","NS","Married",43,"Not",61,"sales"
"241",241,13.33,18,"W","M","NH","NS","Married",10,"Not",34,"sales"
"242",242,5.5,12,"W","M","NH","NS","Single",3,"Not",21,"manuf"
"245",245,8,12,"NW","F","NH","NS","Married",43,"Union",61,"service"
"251",251,9.36,12,"W","M","NH","NS","Married",8,"Not",26,"manuf"
"260",260,5.5,12,"W","M","NH","S","Married",20,"Not",38,"service"
"261",261,6.8,9,"W","F","NH","S","Married",30,"Not",45,"manuf"
"265",265,9.42,12,"W","M","NH","S","Married",32,"Not",50,"sales"
"266",266,6,15,"W","F","NH","S","Single",26,"Not",47,"service"
"273",273,6.88,14,"W","F","NH","S","Single",10,"Not",30,"service"
"274",274,5.71,12,"W","F","NH","NS","Married",16,"Union",34,"manuf"
"275",275,3.35,12,"W","F","NH","NS","Married",8,"Not",26,"manuf"
"276",276,4.85,9,"W","F","NH","NS","Married",16,"Not",31,"manuf"
"284",284,5.56,14,"W","M","NH","S","Single",5,"Not",25,"sales"
"288",288,16,12,"W","M","NH","S","Married",35,"Union",53,"manuf"
"289",289,3.35,11,"NW","M","NH","S","Single",3,"Not",20,"manuf"
"291",291,4.25,12,"W","F","NH","S","Married",29,"Not",47,"sales"
"292",292,13.1,10,"NW","F","NH","S","Married",38,"Not",54,"service"
"294",294,5.75,6,"W","M","NH","S","Married",45,"Not",57,"manuf"
"299",299,3.84,11,"NW","F","NH","S","Married",25,"Not",42,"sales"
"302",302,5.65,14,"W","M","NH","NS","Single",2,"Not",22,"manuf"
"305",305,6.93,12,"W","M","NH","NS","Married",26,"Union",44,"service"
"307",307,7,7,"NW","M","NH","NS","Married",42,"Union",55,"manuf"
"308",308,3.35,7,"W","M","NH","S","Married",43,"Not",56,"manuf"
"309",309,6.5,12,"W","M","NH","S","Single",5,"Not",23,"manuf"
"312",312,3.45,13,"NW","F","NH","S","Single",1,"Not",20,"service"
"315",315,4,11,"W","F","NH","S","Married",25,"Union",42,"manuf"
"324",324,3.75,15,"W","M","NH","S","Single",4,"Not",25,"sales"
"325",325,9.45,12,"W","M","NH","NS","Single",13,"Not",31,"manuf"
"327",327,3.6,12,"W","F","NH","NS","Single",6,"Not",24,"service"
"332",332,11.5,12,"W","M","NH","NS","Single",19,"Union",37,"manuf"
"333",333,13.71,12,"W","M","NH","NS","Married",43,"Union",61,"sales"
"336",336,6.75,10,"NW","M","NH","S","Married",41,"Union",57,"manuf"
"338",338,3.43,12,"NW","M","NH","S","Single",2,"Not",20,"service"
"339",339,4.35,8,"NW","F","NH","S","Married",37,"Not",51,"service"
"340",340,13,12,"NW","M","NH","S","Married",19,"Union",37,"manuf"
"342",342,3.51,10,"NW","F","NH","S","Married",37,"Not",53,"service"
"346",346,11,16,"W","M","NH","NS","Married",13,"Union",35,"manuf"
"353",353,3.75,12,"W","F","NH","S","Married",17,"Not",35,"service"
"354",354,6.5,11,"W","M","NH","S","Married",39,"Not",56,"service"
"356",356,4.55,8,"W","F","NH","S","Single",45,"Not",59,"service"
"363",363,4.5,12,"W","F","NH","NS","Single",15,"Not",33,"manuf"
"364",364,11.5,16,"W","M","NH","NS","Married",16,"Not",38,"sales"
"366",366,14.21,11,"W","M","NH","NS","Single",15,"Union",32,"manuf"
"373",373,7,12,"W","F","NH","S","Married",26,"Not",44,"service"
"374",374,7.5,12,"NW","F","NH","S","Married",27,"Not",45,"sales"
"378",378,3.5,8,"W","M","Hisp","S","Married",8,"Not",22,"manuf"
"383",383,3.5,11,"W","F","NH","S","Married",17,"Not",34,"service"
"384",384,11,14,"W","M","NH","S","Married",14,"Union",34,"manuf"
"386",386,8.5,12,"W","M","NH","NS","Married",13,"Not",31,"manuf"
"391",391,12,17,"W","M","NH","NS","Married",13,"Not",36,"sales"
"392",392,3.35,12,"NW","F","NH","S","Married",10,"Not",28,"manuf"
"394",394,6,13,"W","M","NH","S","Married",7,"Not",26,"manuf"
"395",395,4.22,8,"W","F","NH","S","Married",39,"Not",53,"manuf"
"396",396,3.5,14,"W","F","NH","S","Married",6,"Not",26,"sales"
"397",397,12,12,"W","M","NH","S","Married",20,"Union",38,"manuf"
"400",400,3.98,14,"W","F","NH","NS","Single",6,"Not",26,"service"
"407",407,4.25,12,"W","F","NH","NS","Married",2,"Not",20,"service"
"419",419,4.55,13,"W","F","NH","NS","Married",33,"Not",52,"sales"
"423",423,5.8,13,"W","M","NH","NS","Single",5,"Not",24,"sales"
"425",425,9.75,11,"W","M","NH","S","Married",37,"Union",54,"manuf"
"426",426,13,11,"W","M","NH","S","Married",18,"Union",35,"service"
"432",432,6.85,14,"NW","M","NH","NS","Married",34,"Union",54,"service"
"434",434,7.14,14,"W","M","NH","NS","Married",17,"Not",37,"service"
"441",441,5.1,8,"W","F","Hisp","NS","Married",21,"Not",35,"manuf"
"442",442,7.5,11,"NW","M","NH","NS","Single",3,"Not",20,"service"
"443",443,3.4,8,"NW","F","NH","NS","Married",29,"Not",43,"service"
"447",447,8.4,13,"W","M","NH","NS","Single",17,"Not",36,"manuf"
"448",448,8,12,"W","F","NH","NS","Married",15,"Not",33,"service"
"449",449,8.5,9,"W","M","NH","NS","Married",38,"Not",53,"manuf"
"451",451,9,12,"W","M","NH","NS","Married",10,"Not",28,"service"
"454",454,4.8,9,"NW","M","NH","NS","Single",16,"Not",31,"manuf"
"463",463,9,13,"NW","M","NH","NS","Single",8,"Union",27,"manuf"
"470",470,3.5,12,"W","M","NH","NS","Married",34,"Not",52,"sales"
"471",471,4.5,11,"W","M","NH","NS","Single",2,"Not",19,"service"
"472",472,5.5,12,"W","F","NH","NS","Single",11,"Not",29,"manuf"
"473",473,6.25,13,"W","F","NH","NS","Married",4,"Not",23,"sales"
"480",480,7.5,12,"W","F","NH","NS","Married",9,"Union",27,"service"
"482",482,4.5,14,"W","M","NH","NS","Married",14,"Not",34,"sales"
"485",485,4.15,11,"W","M","NH","NS","Married",4,"Not",21,"service"
"486",486,5.13,12,"W","F","NH","NS","Married",5,"Not",23,"sales"
"487",487,5.26,8,"W","F","NH","NS","Married",38,"Not",52,"service"
"490",490,8,13,"W","F","NH","NS","Married",15,"Not",34,"service"
"494",494,6.36,12,"W","M","NH","NS","Married",9,"Not",27,"manuf"
"495",495,3.5,9,"W","M","NH","NS","Single",48,"Not",63,"service"
"499",499,7.96,14,"W","F","NH","NS","Married",12,"Not",32,"service"
"500",500,5.65,16,"W","F","NH","NS","Married",6,"Not",28,"sales"
"501",501,6,4,"W","M","NH","NS","Married",54,"Not",64,"service"
"503",503,3.65,11,"W","F","NH","S","Married",8,"Not",25,"service"
"505",505,5.15,13,"W","M","NH","S","Single",1,"Union",20,"service"
"507",507,2.01,13,"W","M","NH","S","Single",0,"Not",19,"service"
"509",509,8.75,11,"W","F","NH","NS","Single",36,"Not",53,"service"
"510",510,12.5,14,"W","F","NH","NS","Married",19,"Not",39,"service"
"511",511,4,12,"W","M","NH","NS","Single",12,"Not",30,"service"
"512",512,4.5,16,"W","M","NH","NS","Married",21,"Not",43,"service"
"514",514,5.5,12,"W","M","NH","NS","Married",10,"Not",28,"service"
"517",517,7.78,12,"W","M","NH","NS","Married",23,"Not",41,"manuf"
"521",521,4.35,11,"W","F","NH","NS","Married",20,"Not",37,"service"
"523",523,8.93,8,"W","M","Hisp","NS","Married",47,"Union",61,"service"
"524",524,3.5,11,"W","F","NH","NS","Married",33,"Not",50,"sales"
"526",526,8,12,"W","F","NH","NS","Married",19,"Not",37,"manuf"
"528",528,5.35,12,"W","F","NH","NS","Married",13,"Not",31,"service"
"531",531,18.5,14,"W","F","NH","NS","Single",13,"Not",33,"manuf"
"533",533,16.26,12,"NW","M","NH","NS","Single",14,"Union",32,"service"
