Timestamp,What is your mean?,What is your intercept?,What is your slope?
3/24/2022 9:50:15,66.4,17.73,0.795
3/24/2022 9:58:24,67.2704,7.308665,0.9287993
3/24/2022 9:58:35,65.89519,7.8958743,0.9674798
3/24/2022 9:58:38,59.53952,12.0214435,0.8149955
3/24/2022 9:58:47,65.07,-15.150851,1.322287
3/24/2022 9:58:48,71.80557,19.218595,0.780899
3/24/2022 9:58:53,51.38719,-3.147224,1.156262
3/24/2022 9:58:59,69.66419,10.7549565,0.9139529
3/24/2022 9:59:09,63.938,4.2526195,0.9926891
3/24/2022 9:59:15,62.73695,9.4946038,0.9513242
3/24/2022 9:59:15,69.32,6.033,0.969
3/24/2022 9:59:22,65.01757,5.1783336,0.9911457
3/24/2022 9:59:53,69.386,-7.4898,1.1996
3/24/2022 9:59:53,58.84966,4.9319786,0.9057936
3/24/2022 9:59:54,75.34,26.46,0.72
3/24/2022 9:59:59,62.63014,-7.787093,1.238922
3/24/2022 10:00:12,67.90967,16.8589009,0.8071559
3/24/2022 10:00:12,64.85938,7.2096441,0.9441335
3/24/2022 10:00:17,67.66054,7.6713199,0.9222041
3/24/2022 10:00:56,66.53106,1.59392,1.054369
3/24/2022 10:00:58,65.4897,10.1175585,0.9294315
3/24/2022 10:01:01,65.01757,7.58,0.9674674
3/24/2022 10:07:00,63.89533,7.581,0.9675
3/24/2022 10:07:10,55.9521,1.7908839,0.9763316
3/24/2022 10:07:23,56.65104,-4.063,1.105
3/24/2022 10:07:49,64.83806,6.016,1.042
3/24/2022 10:08:16,70.26326,12.715,0.874
3/24/2022 10:13:02,57.889,1.393286,1.049573
3/24/2022 10:34:05,64.99311,15.6883412,0.8251095
3/24/2022 13:37:14,63.36811,12.90888,0.905
3/24/2022 13:38:30,66.6514,16.049,0.838
3/24/2022 13:38:46,70.25934,-2.971728,1.153463
3/24/2022 13:39:07,56.87875,0.8692031,1.0522593
3/24/2022 13:39:09,59.5897,-7.14655,1.13889
3/24/2022 13:39:12,66.46837,2.822833,1.065746
3/24/2022 13:39:20,57.96221,6.3389517,0.9475011
3/24/2022 13:39:31,60.90366,14.4858999,0.9137757
3/24/2022 13:39:39,71.93417,1.117893,1.01585
3/24/2022 13:39:56,66.22453,-0.8696805,1.0982643
3/24/2022 13:40:03,70.32338,2.598583,1.091763
3/24/2022 13:40:08,56.9793,0.0924146,1.0460385
3/24/2022 13:40:11,60.79787,-1.843517,1.084246
3/24/2022 13:40:12,71.43336,12.4570033,0.8710399
3/24/2022 13:40:34,70.71564,27.5903841,0.6851169
3/24/2022 13:40:59,53.9,-1.72,1.09
3/24/2022 13:41:00,63.63633,16.1747053,0.7612517
3/24/2022 13:41:13,68.94,-6.27,1.11
3/24/2022 13:41:32,65.01757,7.5810002,0.9674674
3/24/2022 13:41:57,60.03794,3.404902,1.012281
3/24/2022 13:42:30,65.03,7.2287338,0.9435498
3/24/2022 13:43:27,66.7691,11.5025,0.9158
3/24/2022 13:43:56,53.76083,-0.8898344,1.084346
3/24/2022 15:18:27,69.07697,14.3348801,0.8744863
3/24/2022 15:18:58,57.00502,-4.008064,1.148484
3/24/2022 15:19:03,67.343,16.554346,0.897147
3/24/2022 15:19:03,59.80412,3.1561225,0.9560312
3/24/2022 15:19:09,59.11205,-17.648163,1.376336
3/24/2022 15:19:20,66.83987,-16.044959,1.335586
3/24/2022 15:19:26,65.83412,10.7193102,0.9454126
3/24/2022 15:19:30,62.885,-2.847,1.193
3/24/2022 15:19:37,75.23855,-8.293398,1.200531
3/24/2022 15:19:47,74.64816,19.8730508,0.7810333
3/24/2022 15:19:48,68.71436,-3.60432,1.103015
3/24/2022 15:19:52,67.69572,10.043417,0.958224
3/24/2022 15:19:52,64.63647,-7.342402,1.200304
3/24/2022 15:20:20,59.71888,-9.179721,1.259253
3/24/2022 15:20:28,54.81071,2.863213,1.008319
3/24/2022 15:20:43,71.49974,6.417117,1.18397
3/24/2022 15:20:56,63,10.8456898,0.9260011
3/24/2022 15:21:01,62.89051,10.8103133,0.8598188
3/24/2022 15:21:02,69.29279,12.6241106,0.9254484
3/24/2022 15:21:19,63,1.51,1.05
3/24/2022 15:21:45,74.88686,31.4548798,0.6516722
3/24/2022 15:21:51,71.17562,-1.572101,1.096876
3/24/2022 15:22:38,60.27738,1.673116,1.010261
3/24/2022 15:24:58,57.456,1.947,1.017