"state","median_house_inc","share_unemp_seas","share_pop_metro","share_pop_hs","share_non_citizen","share_white_poverty","gini_index","share_non_white","share_vote_trump","hate_crimes_per_100k_splc","avg_hatecrimes_per_100k_fbi","crimes_pre","crimes_post","trump_win","crimes_diff"
"Alabama",42278,0.06,0.64,0.821,0.02,0.12,0.472,0.35,0.63,0.125838926,1.806410489,0.00494906983287671,0.0125838926,TRUE,0.00763482276712329
"Alaska",67629,0.064,0.63,0.914,0.04,0.06,0.422,0.42,0.53,0.143740118,1.656700109,0.00453890440821918,0.0143740118,TRUE,0.00983510739178082
"Arizona",49254,0.063,0.9,0.842,0.1,0.09,0.455,0.49,0.5,0.225319954,3.413927994,0.00935322738082192,0.0225319954,TRUE,0.0131787680191781
"Arkansas",44922,0.052,0.69,0.824,0.04,0.12,0.458,0.26,0.6,0.069060773,0.869208872,0.00238139416986301,0.0069060773,TRUE,0.00452468313013699
"California",60487,0.059,0.97,0.806,0.13,0.09,0.471,0.61,0.33,0.255805361,2.397985899,0.00656982438082192,0.0255805361,FALSE,0.0190107117191781
"Colorado",60940,0.04,0.8,0.893,0.06,0.07,0.457,0.31,0.44,0.390523301,2.804688765,0.00768407880821918,0.0390523301,FALSE,0.0313682512917808
"Connecticut",70161,0.052,0.94,0.886,0.06,0.06,0.486,0.3,0.41,0.335392269,3.772701469,0.0103361684082192,0.0335392269,FALSE,0.0232030584917808
"Delaware",57522,0.049,0.9,0.874,0.05,0.08,0.44,0.37,0.42,0.322754169,1.469979563,0.00402734126849315,0.0322754169,FALSE,0.0282480756315068
"District of Columbia",68277,0.067,1,0.871,0.11,0.04,0.532,0.63,0.04,1.52230172,10.95347971,0.0300095334520548,0.152230172,FALSE,0.122220638547945
"Florida",46140,0.052,0.96,0.853,0.09,0.11,0.474,0.46,0.49,0.187521223,0.698070342,0.00191252148493151,0.0187521223,TRUE,0.0168396008150685
"Georgia",49555,0.058,0.82,0.839,0.08,0.09,0.468,0.48,0.51,0.120420267,0.412011824,0.00112879951780822,0.0120420267,TRUE,0.0109132271821918
"Hawaii",71223,0.034,0.76,0.904,0.08,0.07,0.433,0.81,0.3,NA,NA,NA,NA,FALSE,NA
"Idaho",53438,0.042,0.7,0.884,0.04,0.11,0.433,0.16,0.59,0.124208173,1.891330529,0.00518172747671233,0.0124208173,TRUE,0.00723908982328767
"Illinois",54916,0.054,0.9,0.864,0.07,0.07,0.465,0.37,0.39,0.195344549,1.044015798,0.00286031725479452,0.0195344549,FALSE,0.0166741376452055
"Indiana",48060,0.044,0.79,0.866,0.03,0.12,0.44,0.2,0.57,0.247008877,1.757356567,0.0048146755260274,0.0247008877,TRUE,0.0198862121739726
"Iowa",57810,0.036,0.6,0.914,0.03,0.09,0.427,0.15,0.52,0.454427421,0.561395565,0.00153807004109589,0.0454427421,TRUE,0.0439046720589041
"Kansas",53444,0.044,0.64,0.897,0.04,0.11,0.445,0.25,0.57,0.105152471,2.143986672,0.00587393608767123,0.0105152471,TRUE,0.00464131101232877
"Kentucky",42786,0.05,0.56,0.817,0.03,0.17,0.466,0.15,0.63,0.324396969,4.207889621,0.0115284647150685,0.0324396969,TRUE,0.0209112321849315
"Louisiana",42406,0.06,0.81,0.822,0.02,0.12,0.475,0.42,0.58,0.109733348,1.341169554,0.00367443713424658,0.0109733348,TRUE,0.00729889766575342
"Maine",51710,0.044,0.54,0.902,NA,0.12,0.437,0.09,0.45,0.615574023,2.626610924,0.00719619431232877,0.0615574023,FALSE,0.0543612079876712
"Maryland",76165,0.051,0.97,0.89,0.08,0.06,0.443,0.5,0.35,0.37043897,1.324839538,0.00362969736438356,0.037043897,FALSE,0.0334141996356164
"Massachusetts",63151,0.046,0.97,0.89,0.09,0.08,0.475,0.27,0.34,0.630810592,4.801899339,0.0131558886,0.0630810592,FALSE,0.0499251706
"Michigan",52005,0.05,0.87,0.879,0.04,0.09,0.451,0.24,0.48,0.403779375,3.200442266,0.00876833497534247,0.0403779375,TRUE,0.0316096025246575
"Minnesota",67244,0.038,0.75,0.915,0.05,0.05,0.44,0.18,0.45,0.62747993,3.612411816,0.0098970186739726,0.062747993,FALSE,0.0528509743260274
"Mississippi",35521,0.061,0.45,0.804,NA,0.14,0.468,0.44,0.58,0.067446801,0.622745989,0.00170615339452055,0.0067446801,TRUE,0.00503852670547945
"Missouri",56630,0.053,0.78,0.868,0.02,0.07,0.455,0.2,0.57,0.18452351,1.908954989,0.00523001366849315,0.018452351,TRUE,0.0132223373315068
"Montana",51102,0.041,0.34,0.908,0.01,0.1,0.435,0.1,0.57,0.495491032,2.954959378,0.00809577911780822,0.0495491032,TRUE,0.0414533240821918
"Nebraska",56870,0.029,0.6,0.898,0.05,0.07,0.432,0.21,0.6,0.159489633,2.68624842,0.00735958471232877,0.0159489633,TRUE,0.00858937858767123
"Nevada",49875,0.067,0.87,0.839,0.1,0.08,0.448,0.5,0.46,0.14167316,2.113990154,0.00579175384657534,0.014167316,FALSE,0.00837556215342466
"New Hampshire",73397,0.034,0.63,0.913,0.03,0.06,0.425,0.09,0.47,0.151549595,2.105988585,0.00576983173972603,0.0151549595,FALSE,0.00938512776027397
"New Jersey",65243,0.056,1,0.874,0.11,0.07,0.464,0.44,0.42,0.078305908,4.413202591,0.0120909660027397,0.0078305908,FALSE,-0.00426037520273973
"New Mexico",46686,0.068,0.69,0.828,0.06,0.1,0.464,0.62,0.4,0.294811321,1.886435184,0.00516831557260274,0.0294811321,FALSE,0.0243128165273973
"New York",54310,0.051,0.94,0.847,0.1,0.1,0.499,0.42,0.37,0.350620446,3.102164284,0.00849908023013699,0.0350620446,FALSE,0.026562964369863
"North Carolina",46784,0.058,0.76,0.843,0.05,0.1,0.464,0.38,0.51,0.244006588,1.262679796,0.00345939670136986,0.0244006588,TRUE,0.0209412620986301
"North Dakota",60730,0.028,0.5,0.901,0.03,0.09,0.433,0.15,0.64,NA,4.741069885,0.0129892325616438,NA,TRUE,NA
"Ohio",49644,0.045,0.75,0.876,0.03,0.1,0.452,0.21,0.52,0.190713964,3.240420404,0.00887786412054795,0.0190713964,TRUE,0.0101935322794521
"Oklahoma",47199,0.044,0.59,0.856,0.04,0.1,0.454,0.35,0.65,0.133629099,1.08167215,0.00296348534246575,0.0133629099,TRUE,0.0103994245575342
"Oregon",58875,0.062,0.87,0.891,0.07,0.1,0.449,0.26,0.41,0.832849608,3.394886113,0.00930105784383562,0.0832849608,FALSE,0.0739839029561644
"Pennsylvania",55173,0.053,0.87,0.879,0.03,0.09,0.461,0.24,0.49,0.285101092,0.43092759,0.00118062353424658,0.0285101092,TRUE,0.0273294856657534
"Rhode Island",58633,0.054,1,0.847,0.08,0.08,0.467,0.28,0.4,0.095401641,1.282571834,0.00351389543561644,0.0095401641,FALSE,0.00602626866438356
"South Carolina",44929,0.057,0.79,0.836,0.03,0.09,0.461,0.36,0.55,0.209894423,1.937082833,0.00530707625479452,0.0209894423,TRUE,0.0156823660452055
"South Dakota",53053,0.035,0.51,0.899,NA,0.08,0.442,0.17,0.62,NA,3.301737127,0.00904585514246575,NA,TRUE,NA
"Tennessee",43716,0.057,0.82,0.831,0.04,0.13,0.468,0.27,0.61,0.19993848,3.13605115,0.00859192095890411,0.019993848,TRUE,0.0114019270410959
"Texas",53875,0.042,0.92,0.799,0.11,0.08,0.469,0.56,0.53,0.213583938,0.752768305,0.00206237891780822,0.0213583938,TRUE,0.0192960148821918
"Utah",63383,0.036,0.82,0.904,0.04,0.08,0.419,0.19,0.47,0.136546733,2.384065044,0.0065316850520548,0.0136546733,TRUE,0.0071229882479452
"Vermont",60708,0.037,0.35,0.91,0.01,0.1,0.444,0.06,0.33,0.324149109,1.90308139,0.00521392161643836,0.0324149109,FALSE,0.0272009892835616
"Virginia",66155,0.043,0.89,0.866,0.06,0.07,0.459,0.38,0.45,0.363248898,1.724754584,0.00472535502465753,0.0363248898,FALSE,0.0315995347753425
"Washington",59068,0.052,0.86,0.897,0.08,0.09,0.441,0.31,0.38,0.67748765,3.817740296,0.0104595624547945,0.067748765,FALSE,0.0572892025452055
"West Virginia",39552,0.073,0.55,0.828,0.01,0.14,0.451,0.07,0.69,0.328677075,2.037053631,0.00558096885205479,0.0328677075,TRUE,0.0272867386479452
"Wisconsin",58080,0.043,0.69,0.898,0.03,0.09,0.43,0.22,0.48,0.226197105,1.121944651,0.00307382096164384,0.0226197105,TRUE,0.0195458895383562
"Wyoming",55690,0.04,0.31,0.918,0.02,0.09,0.423,0.15,0.7,NA,0.26694076,0.000731344547945205,NA,TRUE,NA
