DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
Abilene-Sweetwater TX,TX,South,64.8,79.13,yes,NFL,45,Texas
Albany GA,GA,South,63.5,59.12,yes,NFL,32,Georgia
Albany-Schenectady-Troy NY,NY,Northeast,45.4,44.11,yes,NFL,40,New York
Albuquerque-Santa Fe NM,NM,West,53.4,39.58,no,NFL,53,New Mexico
Alexandria LA,LA,South,66.4,69.64,yes,NFL,42,Louisiana
Alpena MI,MI,North Central,44.4,63.61,yes,NFL,28,Michigan
Amarillo TX,TX,South,64.8,77.54,yes,NFL,47,Texas
Atlanta GA,GA,South,63.5,47.58,yes,NFL,36,Georgia
Augusta GA,GA,South,63.5,52.77,yes,NFL,39,Georgia
Austin TX,TX,South,64.8,40.01,yes,NFL,40,Texas
Bakersfield CA,CA,West,59.4,53.54,yes,NFL,48,California
Baltimore MD,MD,South,54.2,39.28,yes,NFL,45,Maryland
Bangor ME,ME,Northeast,41,50.99,no,NFL,39,Maine
Baton Rouge LA,LA,South,66.4,54.96,yes,NFL,40,Louisiana
Beaumont-Port Arthur TX,TX,South,64.8,64.65,yes,NFL,45,Texas
Bend OR,OR,West,48.4,46.36,no,NFL,39,Oregon
"Billings, MT",MT,West,42.7,63.77,no,NFL,50,Montana
Biloxi-Gulfport MS,MS,South,63.4,67.78,no,NFL,43,Mississippi
Binghamton NY,NY,Northeast,45.4,53.49,yes,NFL,41,New York
Birmingham AL,AL,South,62.8,62.35,no,NFL,26,Alabama
Bluefield-Beckley-Oak Hill WV,WV,South,51.8,74.16,no,NFL,34,West Virginia
Boise ID,ID,West,44.4,55.59,no,NFL,43,Idaho
Boston MA-Manchester NH,NH,Northeast,43.8,35.4,no,NFL,37,New Hampshire
Bowling Green KY,KY,South,55.6,66.41,no,NFL,36,Kentucky
Buffalo NY,NY,Northeast,45.4,51.79,yes,NFL,41,New York
Burlington VT-Plattsburgh NY,NY,Northeast,45.4,34.79,yes,NFL,36,New York
Butte-Bozeman MT,MT,West,42.7,48.18,no,NFL,48,Montana
Casper-Riverton WY,WY,West,42,71.09,no,NFL,53,Wyoming
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,North Central,47.8,45.3,no,NFL,39,Iowa
Champaign & Springfield-Decatur IL,IL,North Central,51.8,55.92,yes,NFL,30,Illinois
Charleston SC,SC,South,62.4,48.74,no,NFL,40,South Carolina
Charleston-Huntington WV,WV,South,51.8,69.61,no,NFL,33,West Virginia
Charlotte NC,NC,South,59,53.45,yes,NFL,41,North Carolina
Charlottesville VA,VA,South,55.1,39.58,no,NFL,37,Virginia
Chattanooga TN,TN,South,57.6,68.63,yes,NFL,31,Tennessee
Cheyenne WY-Scottsbluff NE,NE,North Central,48.8,64.88,no,NFL,51,Nebraska
Chicago IL,IL,North Central,51.8,31.09,yes,NFL,33,Illinois
Chico-Redding CA,CA,West,59.4,56.06,yes,NFL,44,California
Cincinnati OH,OH,North Central,50.7,57.57,yes,NFL,38,Ohio
Clarksburg-Weston WV,WV,South,51.8,69.75,no,NFL,35,West Virginia
Cleveland-Akron (Canton) OH,OH,North Central,50.7,46.14,yes,NFL,34,Ohio
Colorado Springs-Pueblo CO,CO,West,45.1,55.71,yes,NFL,52,Colorado
Columbia SC,SC,South,62.4,61.12,no,NFL,36,South Carolina
Columbia-Jefferson City MO,MO,North Central,54.5,45.53,yes,NFL,33,Missouri
Columbus GA,GA,South,63.5,50.82,yes,NFL,30,Georgia
Columbus OH,OH,North Central,50.7,47.9,yes,NFL,33,Ohio
Columbus-Tupelo-West Point MS,MS,South,63.4,63.82,no,NFL,39,Mississippi
Corpus Christi TX,TX,South,64.8,51.18,yes,NFL,47,Texas
Dallas-Ft. Worth TX,TX,South,64.8,53.5,yes,NFL,40,Texas
Davenport IA-Rock Island-Moline IL,IL,North Central,51.8,49.45,yes,NFL,38,Illinois
Dayton OH,OH,North Central,50.7,58.66,yes,NFL,40,Ohio
Denver CO,CO,West,45.1,40.73,yes,NFL,49,Colorado
Des Moines-Ames IA,IA,North Central,47.8,49.64,no,NFL,39,Iowa
Detroit MI,MI,North Central,44.4,41.93,yes,NFL,30,Michigan
Dothan AL,AL,South,62.8,73.61,no,NFL,29,Alabama
Duluth MN-Superior WI,WI,North Central,43.1,44.08,yes,NFL,43,Wisconsin
El Paso TX,TX,South,64.8,28.53,yes,NFL,54,Texas
Elmira NY,NY,Northeast,45.4,62.86,yes,NFL,44,New York
Erie PA,PA,Northeast,48.8,53.78,yes,NFL,44,Pennsylvania
Eugene OR,OR,West,48.4,40.87,no,NFL,34,Oregon
Eureka CA,CA,West,59.4,34.44,yes,NFL,37,California
Evansville IN,IN,North Central,51.7,65.84,yes,NFL,30,Indiana
Fargo-Valley City ND,ND,North Central,40.4,56.78,no,NFL,44,North Dakota
Flint-Saginaw-Bay City MI,MI,North Central,44.4,51,yes,NFL,31,Michigan
Florence-Myrtle Beach SC,SC,South,62.4,56.54,no,NFL,37,South Carolina
Fresno-Visalia CA,CA,West,59.4,46.28,yes,NFL,46,California
Ft. Myers-Naples FL,FL,South,70.7,59.62,yes,NFL,38,Florida
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,South,60.4,63.21,no,NFL,35,Arkansas
Ft. Wayne IN,IN,North Central,51.7,64.98,yes,NFL,39,Indiana
Gainesville FL,FL,South,70.7,44.27,yes,NFL,32,Florida
Glendive MT,MT,West,42.7,77.21,no,NFL,56,Montana
Grand Junction-Montrose CO,CO,West,45.1,64.91,yes,NFL,54,Colorado
Grand Rapids-Kalamazoo-Battle Creek MI,MI,North Central,44.4,52.87,yes,NFL,30,Michigan
Great Falls MT,MT,West,42.7,59.38,no,NFL,50,Montana
Green Bay-Appleton WI,WI,North Central,43.1,55.8,yes,NFL,51,Wisconsin
Greensboro-High Point-Winston Salem NC,NC,South,59,54.19,yes,NFL,38,North Carolina
Greenville-New Bern-Washington NC,NC,South,59,55.91,yes,NFL,40,North Carolina
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,South,62.4,61.19,no,NFL,34,South Carolina
Greenwood-Greenville MS,MS,South,63.4,38.45,no,NFL,33,Mississippi
Harlingen-Weslaco-Brownsville-McAllen TX,TX,South,64.8,29,yes,NFL,50,Texas
Harrisburg-Lancaster-Lebanon-York PA,PA,Northeast,48.8,59.18,yes,NFL,43,Pennsylvania
Harrisonburg VA,VA,South,55.1,61.24,no,NFL,42,Virginia
Hartford & New Haven CT,CT,Northeast,59,41.93,no,NFL,38,Connecticut
Hattiesburg-Laurel MS,MS,South,63.4,65.41,no,NFL,40,Mississippi
Helena MT,MT,West,42.7,51.48,no,NFL,52,Montana
Honolulu HI,HI,West,70,30.04,no,NFL,43,Hawaii
Houston TX,TX,South,64.8,49.76,yes,NFL,42,Texas
Huntsville-Decatur (Florence) AL,AL,South,62.8,67.73,no,NFL,27,Alabama
Idaho Falls-Pocatello ID,ID,West,44.4,58.14,no,NFL,44,Idaho
Indianapolis IN,IN,North Central,51.7,54.95,yes,NFL,37,Indiana
Jackson MS,MS,South,63.4,49.42,no,NFL,38,Mississippi
Jackson TN,TN,South,57.6,68,yes,NFL,32,Tennessee
Jacksonville FL,FL,South,70.7,58.92,yes,NFL,42,Florida
Johnstown-Altoona PA,PA,Northeast,48.8,66.3,yes,NFL,37,Pennsylvania
Jonesboro AR,AR,South,60.4,68.79,no,NFL,31,Arkansas
Joplin MO-Pittsburg KS,KS,North Central,54.3,72.57,no,NFL,41,Kansas
Kansas City MO,MO,North Central,54.5,49.73,yes,NFL,36,Missouri
Knoxville TN,TN,South,57.6,70.6,yes,NFL,32,Tennessee
La Crosse-Eau Claire WI,WI,North Central,43.1,49.37,yes,NFL,48,Wisconsin
Lafayette IN,IN,North Central,51.7,51.7,yes,NFL,33,Indiana
Lafayette LA,LA,South,66.4,66.55,yes,NFL,45,Louisiana
Lake Charles LA,LA,South,66.4,68.47,yes,NFL,43,Louisiana
Lansing MI,MI,North Central,44.4,46.28,yes,NFL,26,Michigan
Laredo TX,TX,South,64.8,23.28,yes,NFL,44,Texas
Las Vegas NV,NV,West,49.9,42.47,no,NFL,38,Nevada
Lexington KY,KY,South,55.6,63.82,no,NFL,22,Kentucky
Lima OH,OH,North Central,50.7,72.08,yes,NFL,36,Ohio
Lincoln & Hastings-Kearney NE,NE,North Central,48.8,63.22,no,NFL,33,Nebraska
Little Rock-Pine Bluff AR,AR,South,60.4,58.17,no,NFL,32,Arkansas
Los Angeles CA,CA,West,59.4,31.7,yes,NFL,34,California
Louisville KY,KY,South,55.6,54.68,no,NFL,26,Kentucky
Lubbock TX,TX,South,64.8,69.69,yes,NFL,42,Texas
Macon GA,GA,South,63.5,54.2,yes,NFL,34,Georgia
Madison WI,WI,North Central,43.1,32.97,yes,NFL,43,Wisconsin
Mankato MN,MN,North Central,41.2,54.38,yes,NFL,44,Minnesota
Marquette MI,MI,North Central,44.4,55.34,yes,NFL,41,Michigan
Medford-Klamath Falls OR,OR,West,48.4,55.46,no,NFL,42,Oregon
Memphis TN,TN,South,57.6,47.36,yes,NFL,33,Tennessee
Meridian MS,MS,South,63.4,58.93,no,NFL,28,Mississippi
Miami-Ft. Lauderdale FL,FL,South,70.7,33.03,yes,NFL,31,Florida
Milwaukee WI,WI,North Central,43.1,46.14,yes,NFL,42,Wisconsin
Minneapolis-St. Paul MN,MN,North Central,41.2,44.33,yes,NFL,41,Minnesota
Minot-Bismarck-Dickinson(Williston) ND,ND,North Central,40.4,71.05,no,NFL,50,North Dakota
Missoula MT,MT,West,42.7,54.19,no,NFL,49,Montana
Mobile AL-Pensacola (Ft. Walton Beach) FL,FL,South,70.7,64.14,yes,NFL,34,Florida
Monroe LA-El Dorado AR,AR,South,60.4,63.82,no,NFL,38,Arkansas
Monterey-Salinas CA,CA,West,59.4,22.95,yes,NFL,38,California
Montgomery (Selma) AL,AL,South,62.8,50.2,no,NFL,24,Alabama
Nashville TN,TN,South,57.6,60.71,yes,NFL,35,Tennessee
New Orleans LA,LA,South,66.4,53.67,yes,NFL,45,Louisiana
New York NY,NY,Northeast,45.4,35.24,yes,NFL,32,New York
Norfolk-Portsmouth-Newport News VA,VA,South,55.1,44,no,NFL,47,Virginia
North Platte NE,NE,North Central,48.8,77.35,no,NFL,38,Nebraska
Odessa-Midland TX,TX,South,64.8,70.44,yes,NFL,48,Texas
Oklahoma City OK,OK,South,59.6,62.83,no,NFL,32,Oklahoma
Omaha NE,NE,North Central,48.8,55.34,no,NFL,34,Nebraska
Orlando-Daytona Beach-Melbourne FL,FL,South,70.7,49.22,yes,NFL,35,Florida
Ottumwa IA-Kirksville MO,MO,North Central,54.5,63.52,yes,NFL,37,Missouri
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,IL,North Central,51.8,71.45,yes,NFL,29,Illinois
Palm Springs CA,CA,West,59.4,44.73,yes,NFL,41,California
Panama City FL,FL,South,70.7,72.62,yes,NFL,32,Florida
Parkersburg WV,WV,South,51.8,69.63,no,NFL,36,West Virginia
Peoria-Bloomington IL,IL,North Central,51.8,52.81,yes,NFL,33,Illinois
Philadelphia PA,PA,Northeast,48.8,36.61,yes,NFL,40,Pennsylvania
Phoenix AZ,AZ,West,60.3,50.09,yes,NFL,44,Arizona
Pittsburgh PA,PA,Northeast,48.8,52.24,yes,NFL,33,Pennsylvania
Portland OR,OR,West,48.4,36.85,no,NFL,33,Oregon
Portland-Auburn ME,ME,Northeast,41,42.97,no,NFL,39,Maine
Presque Isle ME,ME,Northeast,41,55.54,no,NFL,31,Maine
Providence RI-New Bedford MA,MA,Northeast,47.9,40.21,yes,NFL,41,Massachusetts
Quincy IL-Hannibal MO-Keokuk IA,IA,North Central,47.8,68.03,no,NFL,34,Iowa
Raleigh-Durham (Fayetteville) NC,NC,South,59,40.6,yes,NFL,37,North Carolina
Rapid City SD,SD,North Central,45.2,66.94,no,NFL,51,South Dakota
Reno NV,NV,West,49.9,51.55,no,NFL,42,Nevada
Richmond-Petersburg VA,VA,South,55.1,44.06,no,NFL,43,Virginia
Roanoke-Lynchburg VA,VA,South,55.1,60.3,no,NFL,35,Virginia
Rochester MN-Mason City IA-Austin MN,MN,North Central,41.2,50.78,yes,NFL,45,Minnesota
Rochester NY,NY,Northeast,45.4,44.07,yes,NFL,44,New York
Rockford IL,IL,North Central,51.8,50.22,yes,NFL,40,Illinois
Sacramento-Stockton-Modesto CA,CA,West,59.4,40.26,yes,NFL,40,California
Salisbury MD,MD,South,54.2,57.38,yes,NFL,44,Maryland
Salt Lake City UT,UT,West,48.6,46.81,no,NFL,39,Utah
San Angelo TX,TX,South,64.8,74.12,yes,NFL,46,Texas
San Antonio TX,TX,South,64.8,49.36,yes,NFL,39,Texas
San Diego CA,CA,West,59.4,37.02,yes,NFL,43,California
San Francisco-Oakland-San Jose CA,CA,West,59.4,18.56,yes,NFL,34,California
Santa Barbara-Santa Maria-San Luis Obispo CA,CA,West,59.4,36.03,yes,NFL,38,California
Savannah GA,GA,South,63.5,54.52,yes,NFL,37,Georgia
Seattle-Tacoma WA,WA,West,48.3,32.15,yes,NFL,47,Washington
Sherman TX-Ada OK,OK,South,59.6,75.05,no,NFL,38,Oklahoma
Shreveport LA,LA,South,66.4,63.05,yes,NFL,41,Louisiana
Sioux City IA,IA,North Central,47.8,68.06,no,NFL,40,Iowa
Sioux Falls(Mitchell) SD,SD,North Central,45.2,61.41,no,NFL,48,South Dakota
South Bend-Elkhart IN,IN,North Central,51.7,58.42,yes,NFL,32,Indiana
Spokane WA,WA,West,48.3,56.02,yes,NFL,45,Washington
Springfield MO,MO,North Central,54.5,72.57,yes,NFL,38,Missouri
Springfield-Holyoke MA,MA,Northeast,47.9,34.52,yes,NFL,39,Massachusetts
St. Joseph MO,MO,North Central,54.5,64.68,yes,NFL,42,Missouri
St. Louis MO,MO,North Central,54.5,50.62,yes,NFL,32,Missouri
Syracuse NY,NY,Northeast,45.4,43.45,yes,NFL,38,New York
Tallahassee FL-Thomasville GA,GA,South,63.5,48.52,yes,NFL,32,Georgia
Tampa-St. Petersburg (Sarasota) FL,FL,South,70.7,52.1,yes,NFL,37,Florida
Terre Haute IN,IN,North Central,51.7,68.85,yes,NFL,38,Indiana
Toledo OH,OH,North Central,50.7,51.1,yes,NFL,35,Ohio
Topeka KS,KS,North Central,54.3,57.33,no,NFL,37,Kansas
Traverse City-Cadillac MI,MI,North Central,44.4,59.97,yes,NFL,31,Michigan
Tri-Cities TN-VA,VA,South,55.1,76.54,no,NFL,33,Virginia
Tucson (Sierra Vista) AZ,AZ,West,60.3,40.89,yes,NFL,39,Arizona
Tulsa OK,OK,South,59.6,65.59,no,NFL,33,Oklahoma
Twin Falls ID,ID,West,44.4,62.85,no,NFL,45,Idaho
Tyler-Longview(Lufkin & Nacogdoches) TX,TX,South,64.8,72.8,yes,NFL,42,Texas
Utica NY,NY,Northeast,45.4,57.47,yes,NFL,38,New York
Victoria TX,TX,South,64.8,68.36,yes,NFL,45,Texas
Waco-Temple-Bryan TX,TX,South,64.8,61.59,yes,NFL,39,Texas
Washington DC (Hagerstown MD),DC,Northeast,NA,29.9,yes,NFL,43,NA
Watertown NY,NY,Northeast,45.4,55.93,yes,NFL,39,New York
Wausau-Rhinelander WI,WI,North Central,43.1,55.86,yes,NFL,49,Wisconsin
West Palm Beach-Ft. Pierce FL,FL,South,70.7,45.87,yes,NFL,31,Florida
Wheeling WV-Steubenville OH,OH,North Central,50.7,67.75,yes,NFL,38,Ohio
Wichita Falls TX & Lawton OK,OK,South,59.6,73.72,no,NFL,40,Oklahoma
Wichita-Hutchinson KS,KS,North Central,54.3,65.22,no,NFL,42,Kansas
Wilkes Barre-Scranton PA,PA,Northeast,48.8,60.11,yes,NFL,43,Pennsylvania
Wilmington NC,NC,South,59,55.91,yes,NFL,40,North Carolina
Yakima-Pasco-Richland-Kennewick WA,WA,West,48.3,55.26,yes,NFL,52,Washington
Youngstown OH,OH,North Central,50.7,53.17,yes,NFL,41,Ohio
Yuma AZ-El Centro CA,CA,West,59.4,37.48,yes,NFL,47,California
Zanesville OH,OH,North Central,50.7,64.59,yes,NFL,36,Ohio
Abilene-Sweetwater TX,TX,South,64.8,79.13,yes,NBA,21,Texas
Albany GA,GA,South,63.5,59.12,yes,NBA,30,Georgia
Albany-Schenectady-Troy NY,NY,Northeast,45.4,44.11,yes,NBA,20,New York
Albuquerque-Santa Fe NM,NM,West,53.4,39.58,no,NBA,21,New Mexico
Alexandria LA,LA,South,66.4,69.64,yes,NBA,28,Louisiana
Alpena MI,MI,North Central,44.4,63.61,yes,NBA,13,Michigan
Amarillo TX,TX,South,64.8,77.54,yes,NBA,22,Texas
Atlanta GA,GA,South,63.5,47.58,yes,NBA,28,Georgia
Augusta GA,GA,South,63.5,52.77,yes,NBA,26,Georgia
Austin TX,TX,South,64.8,40.01,yes,NBA,29,Texas
Bakersfield CA,CA,West,59.4,53.54,yes,NBA,26,California
Baltimore MD,MD,South,54.2,39.28,yes,NBA,20,Maryland
Bangor ME,ME,Northeast,41,50.99,no,NBA,20,Maine
Baton Rouge LA,LA,South,66.4,54.96,yes,NBA,29,Louisiana
Beaumont-Port Arthur TX,TX,South,64.8,64.65,yes,NBA,27,Texas
Bend OR,OR,West,48.4,46.36,no,NBA,24,Oregon
"Billings, MT",MT,West,42.7,63.77,no,NBA,17,Montana
Biloxi-Gulfport MS,MS,South,63.4,67.78,no,NBA,23,Mississippi
Binghamton NY,NY,Northeast,45.4,53.49,yes,NBA,19,New York
Birmingham AL,AL,South,62.8,62.35,no,NBA,22,Alabama
Bluefield-Beckley-Oak Hill WV,WV,South,51.8,74.16,no,NBA,20,West Virginia
Boise ID,ID,West,44.4,55.59,no,NBA,20,Idaho
Boston MA-Manchester NH,NH,Northeast,43.8,35.4,no,NBA,25,New Hampshire
Bowling Green KY,KY,South,55.6,66.41,no,NBA,18,Kentucky
Buffalo NY,NY,Northeast,45.4,51.79,yes,NBA,16,New York
Burlington VT-Plattsburgh NY,NY,Northeast,45.4,34.79,yes,NBA,19,New York
Butte-Bozeman MT,MT,West,42.7,48.18,no,NBA,17,Montana
Casper-Riverton WY,WY,West,42,71.09,no,NBA,16,Wyoming
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,North Central,47.8,45.3,no,NBA,20,Iowa
Champaign & Springfield-Decatur IL,IL,North Central,51.8,55.92,yes,NBA,24,Illinois
Charleston SC,SC,South,62.4,48.74,no,NBA,22,South Carolina
Charleston-Huntington WV,WV,South,51.8,69.61,no,NBA,19,West Virginia
Charlotte NC,NC,South,59,53.45,yes,NBA,23,North Carolina
Charlottesville VA,VA,South,55.1,39.58,no,NBA,22,Virginia
Chattanooga TN,TN,South,57.6,68.63,yes,NBA,21,Tennessee
Cheyenne WY-Scottsbluff NE,NE,North Central,48.8,64.88,no,NBA,16,Nebraska
Chicago IL,IL,North Central,51.8,31.09,yes,NBA,28,Illinois
Chico-Redding CA,CA,West,59.4,56.06,yes,NBA,24,California
Cincinnati OH,OH,North Central,50.7,57.57,yes,NBA,20,Ohio
Clarksburg-Weston WV,WV,South,51.8,69.75,no,NBA,17,West Virginia
Cleveland-Akron (Canton) OH,OH,North Central,50.7,46.14,yes,NBA,33,Ohio
Colorado Springs-Pueblo CO,CO,West,45.1,55.71,yes,NBA,17,Colorado
Columbia SC,SC,South,62.4,61.12,no,NBA,26,South Carolina
Columbia-Jefferson City MO,MO,North Central,54.5,45.53,yes,NBA,19,Missouri
Columbus GA,GA,South,63.5,50.82,yes,NBA,27,Georgia
Columbus OH,OH,North Central,50.7,47.9,yes,NBA,24,Ohio
Columbus-Tupelo-West Point MS,MS,South,63.4,63.82,no,NBA,23,Mississippi
Corpus Christi TX,TX,South,64.8,51.18,yes,NBA,29,Texas
Dallas-Ft. Worth TX,TX,South,64.8,53.5,yes,NBA,28,Texas
Davenport IA-Rock Island-Moline IL,IL,North Central,51.8,49.45,yes,NBA,18,Illinois
Dayton OH,OH,North Central,50.7,58.66,yes,NBA,21,Ohio
Denver CO,CO,West,45.1,40.73,yes,NBA,19,Colorado
Des Moines-Ames IA,IA,North Central,47.8,49.64,no,NBA,19,Iowa
Detroit MI,MI,North Central,44.4,41.93,yes,NBA,26,Michigan
Dothan AL,AL,South,62.8,73.61,no,NBA,21,Alabama
Duluth MN-Superior WI,WI,North Central,43.1,44.08,yes,NBA,15,Wisconsin
El Paso TX,TX,South,64.8,28.53,yes,NBA,25,Texas
Elmira NY,NY,Northeast,45.4,62.86,yes,NBA,14,New York
Erie PA,PA,Northeast,48.8,53.78,yes,NBA,16,Pennsylvania
Eugene OR,OR,West,48.4,40.87,no,NBA,28,Oregon
Eureka CA,CA,West,59.4,34.44,yes,NBA,26,California
Evansville IN,IN,North Central,51.7,65.84,yes,NBA,21,Indiana
Fargo-Valley City ND,ND,North Central,40.4,56.78,no,NBA,18,North Dakota
Flint-Saginaw-Bay City MI,MI,North Central,44.4,51,yes,NBA,20,Michigan
Florence-Myrtle Beach SC,SC,South,62.4,56.54,no,NBA,22,South Carolina
Fresno-Visalia CA,CA,West,59.4,46.28,yes,NBA,26,California
Ft. Myers-Naples FL,FL,South,70.7,59.62,yes,NBA,21,Florida
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,South,60.4,63.21,no,NBA,25,Arkansas
Ft. Wayne IN,IN,North Central,51.7,64.98,yes,NBA,21,Indiana
Gainesville FL,FL,South,70.7,44.27,yes,NBA,26,Florida
Glendive MT,MT,West,42.7,77.21,no,NBA,14,Montana
Grand Junction-Montrose CO,CO,West,45.1,64.91,yes,NBA,15,Colorado
Grand Rapids-Kalamazoo-Battle Creek MI,MI,North Central,44.4,52.87,yes,NBA,19,Michigan
Great Falls MT,MT,West,42.7,59.38,no,NBA,19,Montana
Green Bay-Appleton WI,WI,North Central,43.1,55.8,yes,NBA,16,Wisconsin
Greensboro-High Point-Winston Salem NC,NC,South,59,54.19,yes,NBA,23,North Carolina
Greenville-New Bern-Washington NC,NC,South,59,55.91,yes,NBA,21,North Carolina
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,South,62.4,61.19,no,NBA,20,South Carolina
Greenwood-Greenville MS,MS,South,63.4,38.45,no,NBA,39,Mississippi
Harlingen-Weslaco-Brownsville-McAllen TX,TX,South,64.8,29,yes,NBA,33,Texas
Harrisburg-Lancaster-Lebanon-York PA,PA,Northeast,48.8,59.18,yes,NBA,16,Pennsylvania
