DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
San Francisco-Oakland-San Jose CA,CA,West,59.4,18.56,yes,MLB,17,California
Santa Barbara-Santa Maria-San Luis Obispo CA,CA,West,59.4,36.03,yes,MLB,17,California
Savannah GA,GA,South,63.5,54.52,yes,MLB,11,Georgia
Seattle-Tacoma WA,WA,West,48.3,32.15,yes,MLB,13,Washington
Sherman TX-Ada OK,OK,South,59.6,75.05,no,MLB,13,Oklahoma
Shreveport LA,LA,South,66.4,63.05,yes,MLB,10,Louisiana
Sioux City IA,IA,North Central,47.8,68.06,no,MLB,12,Iowa
Sioux Falls(Mitchell) SD,SD,North Central,45.2,61.41,no,MLB,12,South Dakota
South Bend-Elkhart IN,IN,North Central,51.7,58.42,yes,MLB,15,Indiana
Spokane WA,WA,West,48.3,56.02,yes,MLB,10,Washington
Springfield MO,MO,North Central,54.5,72.57,yes,MLB,20,Missouri
Springfield-Holyoke MA,MA,Northeast,47.9,34.52,yes,MLB,18,Massachusetts
St. Joseph MO,MO,North Central,54.5,64.68,yes,MLB,22,Missouri
St. Louis MO,MO,North Central,54.5,50.62,yes,MLB,25,Missouri
Syracuse NY,NY,Northeast,45.4,43.45,yes,MLB,14,New York
Tallahassee FL-Thomasville GA,GA,South,63.5,48.52,yes,MLB,9,Georgia
Tampa-St. Petersburg (Sarasota) FL,FL,South,70.7,52.1,yes,MLB,17,Florida
Terre Haute IN,IN,North Central,51.7,68.85,yes,MLB,18,Indiana
Toledo OH,OH,North Central,50.7,51.1,yes,MLB,14,Ohio
Topeka KS,KS,North Central,54.3,57.33,no,MLB,19,Kansas
Traverse City-Cadillac MI,MI,North Central,44.4,59.97,yes,MLB,18,Michigan
Tri-Cities TN-VA,VA,South,55.1,76.54,no,MLB,11,Virginia
Tucson (Sierra Vista) AZ,AZ,West,60.3,40.89,yes,MLB,13,Arizona
Tulsa OK,OK,South,59.6,65.59,no,MLB,11,Oklahoma
Twin Falls ID,ID,West,44.4,62.85,no,MLB,10,Idaho
Tyler-Longview(Lufkin & Nacogdoches) TX,TX,South,64.8,72.8,yes,MLB,14,Texas
Utica NY,NY,Northeast,45.4,57.47,yes,MLB,17,New York
Victoria TX,TX,South,64.8,68.36,yes,MLB,10,Texas
Waco-Temple-Bryan TX,TX,South,64.8,61.59,yes,MLB,10,Texas
Washington DC (Hagerstown MD),DC,Northeast,NA,29.9,yes,MLB,14,NA
Watertown NY,NY,Northeast,45.4,55.93,yes,MLB,14,New York
Wausau-Rhinelander WI,WI,North Central,43.1,55.86,yes,MLB,15,Wisconsin
West Palm Beach-Ft. Pierce FL,FL,South,70.7,45.87,yes,MLB,18,Florida
Wheeling WV-Steubenville OH,OH,North Central,50.7,67.75,yes,MLB,16,Ohio
Wichita Falls TX & Lawton OK,OK,South,59.6,73.72,no,MLB,12,Oklahoma
Wichita-Hutchinson KS,KS,North Central,54.3,65.22,no,MLB,13,Kansas
Wilkes Barre-Scranton PA,PA,Northeast,48.8,60.11,yes,MLB,16,Pennsylvania
Wilmington NC,NC,South,59,55.91,yes,MLB,12,North Carolina
Yakima-Pasco-Richland-Kennewick WA,WA,West,48.3,55.26,yes,MLB,11,Washington
Youngstown OH,OH,North Central,50.7,53.17,yes,MLB,15,Ohio
Yuma AZ-El Centro CA,CA,West,59.4,37.48,yes,MLB,18,California
Zanesville OH,OH,North Central,50.7,64.59,yes,MLB,11,Ohio
Abilene-Sweetwater TX,TX,South,64.8,79.13,yes,NHL,2,Texas
Albany GA,GA,South,63.5,59.12,yes,NHL,1,Georgia
Albany-Schenectady-Troy NY,NY,Northeast,45.4,44.11,yes,NHL,8,New York
Albuquerque-Santa Fe NM,NM,West,53.4,39.58,no,NHL,3,New Mexico
Alexandria LA,LA,South,66.4,69.64,yes,NHL,1,Louisiana
Alpena MI,MI,North Central,44.4,63.61,yes,NHL,12,Michigan
Amarillo TX,TX,South,64.8,77.54,yes,NHL,2,Texas
Atlanta GA,GA,South,63.5,47.58,yes,NHL,3,Georgia
Augusta GA,GA,South,63.5,52.77,yes,NHL,3,Georgia
Austin TX,TX,South,64.8,40.01,yes,NHL,3,Texas
Bakersfield CA,CA,West,59.4,53.54,yes,NHL,3,California
Baltimore MD,MD,South,54.2,39.28,yes,NHL,5,Maryland
Bangor ME,ME,Northeast,41,50.99,no,NHL,9,Maine
Baton Rouge LA,LA,South,66.4,54.96,yes,NHL,2,Louisiana
Beaumont-Port Arthur TX,TX,South,64.8,64.65,yes,NHL,1,Texas
Bend OR,OR,West,48.4,46.36,no,NHL,4,Oregon
"Billings, MT",MT,West,42.7,63.77,no,NHL,5,Montana
Biloxi-Gulfport MS,MS,South,63.4,67.78,no,NHL,2,Mississippi
Binghamton NY,NY,Northeast,45.4,53.49,yes,NHL,9,New York
Birmingham AL,AL,South,62.8,62.35,no,NHL,2,Alabama
Bluefield-Beckley-Oak Hill WV,WV,South,51.8,74.16,no,NHL,2,West Virginia
Boise ID,ID,West,44.4,55.59,no,NHL,4,Idaho
Boston MA-Manchester NH,NH,Northeast,43.8,35.4,no,NHL,12,New Hampshire
Bowling Green KY,KY,South,55.6,66.41,no,NHL,4,Kentucky
Buffalo NY,NY,Northeast,45.4,51.79,yes,NHL,23,New York
Burlington VT-Plattsburgh NY,NY,Northeast,45.4,34.79,yes,NHL,14,New York
Butte-Bozeman MT,MT,West,42.7,48.18,no,NHL,8,Montana
Casper-Riverton WY,WY,West,42,71.09,no,NHL,5,Wyoming
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,North Central,47.8,45.3,no,NHL,4,Iowa
Champaign & Springfield-Decatur IL,IL,North Central,51.8,55.92,yes,NHL,6,Illinois
Charleston SC,SC,South,62.4,48.74,no,NHL,4,South Carolina
Charleston-Huntington WV,WV,South,51.8,69.61,no,NHL,3,West Virginia
Charlotte NC,NC,South,59,53.45,yes,NHL,3,North Carolina
Charlottesville VA,VA,South,55.1,39.58,no,NHL,5,Virginia
Chattanooga TN,TN,South,57.6,68.63,yes,NHL,3,Tennessee
Cheyenne WY-Scottsbluff NE,NE,North Central,48.8,64.88,no,NHL,5,Nebraska
Chicago IL,IL,North Central,51.8,31.09,yes,NHL,10,Illinois
Chico-Redding CA,CA,West,59.4,56.06,yes,NHL,3,California
Cincinnati OH,OH,North Central,50.7,57.57,yes,NHL,4,Ohio
Clarksburg-Weston WV,WV,South,51.8,69.75,no,NHL,5,West Virginia
Cleveland-Akron (Canton) OH,OH,North Central,50.7,46.14,yes,NHL,3,Ohio
Colorado Springs-Pueblo CO,CO,West,45.1,55.71,yes,NHL,6,Colorado
Columbia SC,SC,South,62.4,61.12,no,NHL,2,South Carolina
Columbia-Jefferson City MO,MO,North Central,54.5,45.53,yes,NHL,6,Missouri
Columbus GA,GA,South,63.5,50.82,yes,NHL,2,Georgia
Columbus OH,OH,North Central,50.7,47.9,yes,NHL,8,Ohio
Columbus-Tupelo-West Point MS,MS,South,63.4,63.82,no,NHL,2,Mississippi
Corpus Christi TX,TX,South,64.8,51.18,yes,NHL,2,Texas
Dallas-Ft. Worth TX,TX,South,64.8,53.5,yes,NHL,3,Texas
Davenport IA-Rock Island-Moline IL,IL,North Central,51.8,49.45,yes,NHL,5,Illinois
Dayton OH,OH,North Central,50.7,58.66,yes,NHL,4,Ohio
Denver CO,CO,West,45.1,40.73,yes,NHL,7,Colorado
Des Moines-Ames IA,IA,North Central,47.8,49.64,no,NHL,4,Iowa
Detroit MI,MI,North Central,44.4,41.93,yes,NHL,10,Michigan
Dothan AL,AL,South,62.8,73.61,no,NHL,2,Alabama
Duluth MN-Superior WI,WI,North Central,43.1,44.08,yes,NHL,18,Wisconsin
El Paso TX,TX,South,64.8,28.53,yes,NHL,2,Texas
Elmira NY,NY,Northeast,45.4,62.86,yes,NHL,7,New York
Erie PA,PA,Northeast,48.8,53.78,yes,NHL,12,Pennsylvania
Eugene OR,OR,West,48.4,40.87,no,NHL,3,Oregon
Eureka CA,CA,West,59.4,34.44,yes,NHL,3,California
Evansville IN,IN,North Central,51.7,65.84,yes,NHL,3,Indiana
Fargo-Valley City ND,ND,North Central,40.4,56.78,no,NHL,13,North Dakota
Flint-Saginaw-Bay City MI,MI,North Central,44.4,51,yes,NHL,8,Michigan
Florence-Myrtle Beach SC,SC,South,62.4,56.54,no,NHL,3,South Carolina
Fresno-Visalia CA,CA,West,59.4,46.28,yes,NHL,4,California
Ft. Myers-Naples FL,FL,South,70.7,59.62,yes,NHL,8,Florida
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,South,60.4,63.21,no,NHL,3,Arkansas
Ft. Wayne IN,IN,North Central,51.7,64.98,yes,NHL,5,Indiana
Gainesville FL,FL,South,70.7,44.27,yes,NHL,4,Florida
Glendive MT,MT,West,42.7,77.21,no,NHL,0,Montana
Grand Junction-Montrose CO,CO,West,45.1,64.91,yes,NHL,5,Colorado
Grand Rapids-Kalamazoo-Battle Creek MI,MI,North Central,44.4,52.87,yes,NHL,8,Michigan
Great Falls MT,MT,West,42.7,59.38,no,NHL,5,Montana
Green Bay-Appleton WI,WI,North Central,43.1,55.8,yes,NHL,4,Wisconsin
Greensboro-High Point-Winston Salem NC,NC,South,59,54.19,yes,NHL,3,North Carolina
Greenville-New Bern-Washington NC,NC,South,59,55.91,yes,NHL,4,North Carolina
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,South,62.4,61.19,no,NHL,3,South Carolina
Greenwood-Greenville MS,MS,South,63.4,38.45,no,NHL,1,Mississippi
Harlingen-Weslaco-Brownsville-McAllen TX,TX,South,64.8,29,yes,NHL,1,Texas
Harrisburg-Lancaster-Lebanon-York PA,PA,Northeast,48.8,59.18,yes,NHL,9,Pennsylvania
Harrisonburg VA,VA,South,55.1,61.24,no,NHL,5,Virginia
Hartford & New Haven CT,CT,Northeast,59,41.93,no,NHL,8,Connecticut
Hattiesburg-Laurel MS,MS,South,63.4,65.41,no,NHL,1,Mississippi
Helena MT,MT,West,42.7,51.48,no,NHL,6,Montana
Honolulu HI,HI,West,70,30.04,no,NHL,4,Hawaii
Houston TX,TX,South,64.8,49.76,yes,NHL,2,Texas
Huntsville-Decatur (Florence) AL,AL,South,62.8,67.73,no,NHL,3,Alabama
Idaho Falls-Pocatello ID,ID,West,44.4,58.14,no,NHL,5,Idaho
Indianapolis IN,IN,North Central,51.7,54.95,yes,NHL,3,Indiana
Jackson MS,MS,South,63.4,49.42,no,NHL,1,Mississippi
Jackson TN,TN,South,57.6,68,yes,NHL,2,Tennessee
Jacksonville FL,FL,South,70.7,58.92,yes,NHL,4,Florida
Johnstown-Altoona PA,PA,Northeast,48.8,66.3,yes,NHL,13,Pennsylvania
Jonesboro AR,AR,South,60.4,68.79,no,NHL,2,Arkansas
Joplin MO-Pittsburg KS,KS,North Central,54.3,72.57,no,NHL,2,Kansas
Kansas City MO,MO,North Central,54.5,49.73,yes,NHL,3,Missouri
Knoxville TN,TN,South,57.6,70.6,yes,NHL,4,Tennessee
La Crosse-Eau Claire WI,WI,North Central,43.1,49.37,yes,NHL,6,Wisconsin
Lafayette IN,IN,North Central,51.7,51.7,yes,NHL,5,Indiana
Lafayette LA,LA,South,66.4,66.55,yes,NHL,2,Louisiana
Lake Charles LA,LA,South,66.4,68.47,yes,NHL,2,Louisiana
Lansing MI,MI,North Central,44.4,46.28,yes,NHL,8,Michigan
Laredo TX,TX,South,64.8,23.28,yes,NHL,2,Texas
Las Vegas NV,NV,West,49.9,42.47,no,NHL,6,Nevada
Lexington KY,KY,South,55.6,63.82,no,NHL,2,Kentucky
Lima OH,OH,North Central,50.7,72.08,yes,NHL,3,Ohio
Lincoln & Hastings-Kearney NE,NE,North Central,48.8,63.22,no,NHL,3,Nebraska
Little Rock-Pine Bluff AR,AR,South,60.4,58.17,no,NHL,2,Arkansas
Los Angeles CA,CA,West,59.4,31.7,yes,NHL,6,California
Louisville KY,KY,South,55.6,54.68,no,NHL,2,Kentucky
Lubbock TX,TX,South,64.8,69.69,yes,NHL,2,Texas
Macon GA,GA,South,63.5,54.2,yes,NHL,2,Georgia
Madison WI,WI,North Central,43.1,32.97,yes,NHL,5,Wisconsin
Mankato MN,MN,North Central,41.2,54.38,yes,NHL,12,Minnesota
Marquette MI,MI,North Central,44.4,55.34,yes,NHL,16,Michigan
Medford-Klamath Falls OR,OR,West,48.4,55.46,no,NHL,3,Oregon
Memphis TN,TN,South,57.6,47.36,yes,NHL,2,Tennessee
Meridian MS,MS,South,63.4,58.93,no,NHL,2,Mississippi
Miami-Ft. Lauderdale FL,FL,South,70.7,33.03,yes,NHL,4,Florida
Milwaukee WI,WI,North Central,43.1,46.14,yes,NHL,5,Wisconsin
Minneapolis-St. Paul MN,MN,North Central,41.2,44.33,yes,NHL,13,Minnesota
Minot-Bismarck-Dickinson(Williston) ND,ND,North Central,40.4,71.05,no,NHL,8,North Dakota
Missoula MT,MT,West,42.7,54.19,no,NHL,6,Montana
Mobile AL-Pensacola (Ft. Walton Beach) FL,FL,South,70.7,64.14,yes,NHL,3,Florida
Monroe LA-El Dorado AR,AR,South,60.4,63.82,no,NHL,1,Arkansas
Monterey-Salinas CA,CA,West,59.4,22.95,yes,NHL,5,California
Montgomery (Selma) AL,AL,South,62.8,50.2,no,NHL,1,Alabama
Nashville TN,TN,South,57.6,60.71,yes,NHL,7,Tennessee
New Orleans LA,LA,South,66.4,53.67,yes,NHL,2,Louisiana
New York NY,NY,Northeast,45.4,35.24,yes,NHL,9,New York
Norfolk-Portsmouth-Newport News VA,VA,South,55.1,44,no,NHL,4,Virginia
North Platte NE,NE,North Central,48.8,77.35,no,NHL,2,Nebraska
Odessa-Midland TX,TX,South,64.8,70.44,yes,NHL,2,Texas
Oklahoma City OK,OK,South,59.6,62.83,no,NHL,3,Oklahoma
Omaha NE,NE,North Central,48.8,55.34,no,NHL,4,Nebraska
Orlando-Daytona Beach-Melbourne FL,FL,South,70.7,49.22,yes,NHL,5,Florida
Ottumwa IA-Kirksville MO,MO,North Central,54.5,63.52,yes,NHL,4,Missouri
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,IL,North Central,51.8,71.45,yes,NHL,4,Illinois
Palm Springs CA,CA,West,59.4,44.73,yes,NHL,9,California
Panama City FL,FL,South,70.7,72.62,yes,NHL,4,Florida
Parkersburg WV,WV,South,51.8,69.63,no,NHL,4,West Virginia
Peoria-Bloomington IL,IL,North Central,51.8,52.81,yes,NHL,7,Illinois
Philadelphia PA,PA,Northeast,48.8,36.61,yes,NHL,9,Pennsylvania
Phoenix AZ,AZ,West,60.3,50.09,yes,NHL,6,Arizona
Pittsburgh PA,PA,Northeast,48.8,52.24,yes,NHL,20,Pennsylvania
Portland OR,OR,West,48.4,36.85,no,NHL,5,Oregon
Portland-Auburn ME,ME,Northeast,41,42.97,no,NHL,10,Maine
Presque Isle ME,ME,Northeast,41,55.54,no,NHL,11,Maine
Providence RI-New Bedford MA,MA,Northeast,47.9,40.21,yes,NHL,10,Massachusetts
Quincy IL-Hannibal MO-Keokuk IA,IA,North Central,47.8,68.03,no,NHL,5,Iowa
Raleigh-Durham (Fayetteville) NC,NC,South,59,40.6,yes,NHL,5,North Carolina
Rapid City SD,SD,North Central,45.2,66.94,no,NHL,5,South Dakota
Reno NV,NV,West,49.9,51.55,no,NHL,5,Nevada
Richmond-Petersburg VA,VA,South,55.1,44.06,no,NHL,4,Virginia
Roanoke-Lynchburg VA,VA,South,55.1,60.3,no,NHL,5,Virginia
Rochester MN-Mason City IA-Austin MN,MN,North Central,41.2,50.78,yes,NHL,9,Minnesota
Rochester NY,NY,Northeast,45.4,44.07,yes,NHL,11,New York
Rockford IL,IL,North Central,51.8,50.22,yes,NHL,7,Illinois
Sacramento-Stockton-Modesto CA,CA,West,59.4,40.26,yes,NHL,3,California
Salisbury MD,MD,South,54.2,57.38,yes,NHL,5,Maryland
Salt Lake City UT,UT,West,48.6,46.81,no,NHL,4,Utah
San Angelo TX,TX,South,64.8,74.12,yes,NHL,2,Texas
San Antonio TX,TX,South,64.8,49.36,yes,NHL,2,Texas
San Diego CA,CA,West,59.4,37.02,yes,NHL,5,California
San Francisco-Oakland-San Jose CA,CA,West,59.4,18.56,yes,NHL,5,California
Santa Barbara-Santa Maria-San Luis Obispo CA,CA,West,59.4,36.03,yes,NHL,5,California
Savannah GA,GA,South,63.5,54.52,yes,NHL,4,Georgia
Seattle-Tacoma WA,WA,West,48.3,32.15,yes,NHL,4,Washington
Sherman TX-Ada OK,OK,South,59.6,75.05,no,NHL,2,Oklahoma
Shreveport LA,LA,South,66.4,63.05,yes,NHL,2,Louisiana
Sioux City IA,IA,North Central,47.8,68.06,no,NHL,4,Iowa
Sioux Falls(Mitchell) SD,SD,North Central,45.2,61.41,no,NHL,5,South Dakota
South Bend-Elkhart IN,IN,North Central,51.7,58.42,yes,NHL,5,Indiana
Spokane WA,WA,West,48.3,56.02,yes,NHL,4,Washington
Springfield MO,MO,North Central,54.5,72.57,yes,NHL,4,Missouri
Springfield-Holyoke MA,MA,Northeast,47.9,34.52,yes,NHL,10,Massachusetts
St. Joseph MO,MO,North Central,54.5,64.68,yes,NHL,2,Missouri
St. Louis MO,MO,North Central,54.5,50.62,yes,NHL,11,Missouri
Syracuse NY,NY,Northeast,45.4,43.45,yes,NHL,9,New York
Tallahassee FL-Thomasville GA,GA,South,63.5,48.52,yes,NHL,3,Georgia
Tampa-St. Petersburg (Sarasota) FL,FL,South,70.7,52.1,yes,NHL,9,Florida
Terre Haute IN,IN,North Central,51.7,68.85,yes,NHL,3,Indiana
Toledo OH,OH,North Central,50.7,51.1,yes,NHL,6,Ohio
Topeka KS,KS,North Central,54.3,57.33,no,NHL,2,Kansas
Traverse City-Cadillac MI,MI,North Central,44.4,59.97,yes,NHL,11,Michigan
Tri-Cities TN-VA,VA,South,55.1,76.54,no,NHL,3,Virginia
Tucson (Sierra Vista) AZ,AZ,West,60.3,40.89,yes,NHL,4,Arizona
Tulsa OK,OK,South,59.6,65.59,no,NHL,3,Oklahoma
Twin Falls ID,ID,West,44.4,62.85,no,NHL,4,Idaho
Tyler-Longview(Lufkin & Nacogdoches) TX,TX,South,64.8,72.8,yes,NHL,2,Texas
Utica NY,NY,Northeast,45.4,57.47,yes,NHL,10,New York
Victoria TX,TX,South,64.8,68.36,yes,NHL,2,Texas
Waco-Temple-Bryan TX,TX,South,64.8,61.59,yes,NHL,2,Texas
Washington DC (Hagerstown MD),DC,Northeast,NA,29.9,yes,NHL,7,NA
Watertown NY,NY,Northeast,45.4,55.93,yes,NHL,16,New York
Wausau-Rhinelander WI,WI,North Central,43.1,55.86,yes,NHL,6,Wisconsin
West Palm Beach-Ft. Pierce FL,FL,South,70.7,45.87,yes,NHL,6,Florida
Wheeling WV-Steubenville OH,OH,North Central,50.7,67.75,yes,NHL,9,Ohio
Wichita Falls TX & Lawton OK,OK,South,59.6,73.72,no,NHL,2,Oklahoma
Wichita-Hutchinson KS,KS,North Central,54.3,65.22,no,NHL,3,Kansas
Wilkes Barre-Scranton PA,PA,Northeast,48.8,60.11,yes,NHL,7,Pennsylvania
Wilmington NC,NC,South,59,55.91,yes,NHL,5,North Carolina
Yakima-Pasco-Richland-Kennewick WA,WA,West,48.3,55.26,yes,NHL,3,Washington
Youngstown OH,OH,North Central,50.7,53.17,yes,NHL,5,Ohio
Yuma AZ-El Centro CA,CA,West,59.4,37.48,yes,NHL,4,California
Zanesville OH,OH,North Central,50.7,64.59,yes,NHL,4,Ohio
Abilene-Sweetwater TX,TX,South,64.8,79.13,yes,NASCAR,4,Texas
Albany GA,GA,South,63.5,59.12,yes,NASCAR,8,Georgia
Albany-Schenectady-Troy NY,NY,Northeast,45.4,44.11,yes,NASCAR,6,New York
Albuquerque-Santa Fe NM,NM,West,53.4,39.58,no,NASCAR,3,New Mexico
Alexandria LA,LA,South,66.4,69.64,yes,NASCAR,5,Louisiana
Alpena MI,MI,North Central,44.4,63.61,yes,NASCAR,10,Michigan
Amarillo TX,TX,South,64.8,77.54,yes,NASCAR,5,Texas
Atlanta GA,GA,South,63.5,47.58,yes,NASCAR,5,Georgia
Augusta GA,GA,South,63.5,52.77,yes,NASCAR,8,Georgia
Austin TX,TX,South,64.8,40.01,yes,NASCAR,3,Texas
Bakersfield CA,CA,West,59.4,53.54,yes,NASCAR,4,California
Baltimore MD,MD,South,54.2,39.28,yes,NASCAR,3,Maryland
Bangor ME,ME,Northeast,41,50.99,no,NASCAR,8,Maine
Baton Rouge LA,LA,South,66.4,54.96,yes,NASCAR,3,Louisiana
Beaumont-Port Arthur TX,TX,South,64.8,64.65,yes,NASCAR,4,Texas
Bend OR,OR,West,48.4,46.36,no,NASCAR,4,Oregon
"Billings, MT",MT,West,42.7,63.77,no,NASCAR,5,Montana
Biloxi-Gulfport MS,MS,South,63.4,67.78,no,NASCAR,6,Mississippi
Binghamton NY,NY,Northeast,45.4,53.49,yes,NASCAR,7,New York
Birmingham AL,AL,South,62.8,62.35,no,NASCAR,6,Alabama
Bluefield-Beckley-Oak Hill WV,WV,South,51.8,74.16,no,NASCAR,13,West Virginia
Boise ID,ID,West,44.4,55.59,no,NASCAR,4,Idaho
Boston MA-Manchester NH,NH,Northeast,43.8,35.4,no,NASCAR,3,New Hampshire
Bowling Green KY,KY,South,55.6,66.41,no,NASCAR,6,Kentucky
Buffalo NY,NY,Northeast,45.4,51.79,yes,NASCAR,4,New York
Burlington VT-Plattsburgh NY,NY,Northeast,45.4,34.79,yes,NASCAR,7,New York
Butte-Bozeman MT,MT,West,42.7,48.18,no,NASCAR,4,Montana
Casper-Riverton WY,WY,West,42,71.09,no,NASCAR,5,Wyoming
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,North Central,47.8,45.3,no,NASCAR,6,Iowa
Champaign & Springfield-Decatur IL,IL,North Central,51.8,55.92,yes,NASCAR,6,Illinois
Charleston SC,SC,South,62.4,48.74,no,NASCAR,6,South Carolina
Charleston-Huntington WV,WV,South,51.8,69.61,no,NASCAR,10,West Virginia
Charlotte NC,NC,South,59,53.45,yes,NASCAR,10,North Carolina
Charlottesville VA,VA,South,55.1,39.58,no,NASCAR,7,Virginia
Chattanooga TN,TN,South,57.6,68.63,yes,NASCAR,9,Tennessee
Cheyenne WY-Scottsbluff NE,NE,North Central,48.8,64.88,no,NASCAR,5,Nebraska
Chicago IL,IL,North Central,51.8,31.09,yes,NASCAR,3,Illinois
Chico-Redding CA,CA,West,59.4,56.06,yes,NASCAR,5,California
Cincinnati OH,OH,North Central,50.7,57.57,yes,NASCAR,5,Ohio
Clarksburg-Weston WV,WV,South,51.8,69.75,no,NASCAR,10,West Virginia
Cleveland-Akron (Canton) OH,OH,North Central,50.7,46.14,yes,NASCAR,4,Ohio
Colorado Springs-Pueblo CO,CO,West,45.1,55.71,yes,NASCAR,3,Colorado
