DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
Columbia SC,SC,South,62.4,61.12,no,NASCAR,6,South Carolina
Columbia-Jefferson City MO,MO,North Central,54.5,45.53,yes,NASCAR,6,Missouri
Columbus GA,GA,South,63.5,50.82,yes,NASCAR,5,Georgia
Columbus OH,OH,North Central,50.7,47.9,yes,NASCAR,5,Ohio
Columbus-Tupelo-West Point MS,MS,South,63.4,63.82,no,NASCAR,6,Mississippi
Corpus Christi TX,TX,South,64.8,51.18,yes,NASCAR,3,Texas
Dallas-Ft. Worth TX,TX,South,64.8,53.5,yes,NASCAR,3,Texas
Davenport IA-Rock Island-Moline IL,IL,North Central,51.8,49.45,yes,NASCAR,7,Illinois
Dayton OH,OH,North Central,50.7,58.66,yes,NASCAR,6,Ohio
Denver CO,CO,West,45.1,40.73,yes,NASCAR,3,Colorado
Des Moines-Ames IA,IA,North Central,47.8,49.64,no,NASCAR,7,Iowa
Detroit MI,MI,North Central,44.4,41.93,yes,NASCAR,3,Michigan
Dothan AL,AL,South,62.8,73.61,no,NASCAR,7,Alabama
Duluth MN-Superior WI,WI,North Central,43.1,44.08,yes,NASCAR,5,Wisconsin
El Paso TX,TX,South,64.8,28.53,yes,NASCAR,2,Texas
Elmira NY,NY,Northeast,45.4,62.86,yes,NASCAR,12,New York
Erie PA,PA,Northeast,48.8,53.78,yes,NASCAR,6,Pennsylvania
Eugene OR,OR,West,48.4,40.87,no,NASCAR,4,Oregon
Eureka CA,CA,West,59.4,34.44,yes,NASCAR,4,California
Evansville IN,IN,North Central,51.7,65.84,yes,NASCAR,7,Indiana
Fargo-Valley City ND,ND,North Central,40.4,56.78,no,NASCAR,5,North Dakota
Flint-Saginaw-Bay City MI,MI,North Central,44.4,51,yes,NASCAR,7,Michigan
Florence-Myrtle Beach SC,SC,South,62.4,56.54,no,NASCAR,10,South Carolina
Fresno-Visalia CA,CA,West,59.4,46.28,yes,NASCAR,3,California
Ft. Myers-Naples FL,FL,South,70.7,59.62,yes,NASCAR,5,Florida
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,South,60.4,63.21,no,NASCAR,5,Arkansas
Ft. Wayne IN,IN,North Central,51.7,64.98,yes,NASCAR,7,Indiana
Gainesville FL,FL,South,70.7,44.27,yes,NASCAR,4,Florida
Glendive MT,MT,West,42.7,77.21,no,NASCAR,9,Montana
Grand Junction-Montrose CO,CO,West,45.1,64.91,yes,NASCAR,5,Colorado
Grand Rapids-Kalamazoo-Battle Creek MI,MI,North Central,44.4,52.87,yes,NASCAR,6,Michigan
Great Falls MT,MT,West,42.7,59.38,no,NASCAR,5,Montana
Green Bay-Appleton WI,WI,North Central,43.1,55.8,yes,NASCAR,6,Wisconsin
Greensboro-High Point-Winston Salem NC,NC,South,59,54.19,yes,NASCAR,10,North Carolina
Greenville-New Bern-Washington NC,NC,South,59,55.91,yes,NASCAR,9,North Carolina
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,South,62.4,61.19,no,NASCAR,9,South Carolina
Greenwood-Greenville MS,MS,South,63.4,38.45,no,NASCAR,3,Mississippi
Harlingen-Weslaco-Brownsville-McAllen TX,TX,South,64.8,29,yes,NASCAR,2,Texas
Harrisburg-Lancaster-Lebanon-York PA,PA,Northeast,48.8,59.18,yes,NASCAR,7,Pennsylvania
Harrisonburg VA,VA,South,55.1,61.24,no,NASCAR,8,Virginia
Hartford & New Haven CT,CT,Northeast,59,41.93,no,NASCAR,4,Connecticut
Hattiesburg-Laurel MS,MS,South,63.4,65.41,no,NASCAR,5,Mississippi
Helena MT,MT,West,42.7,51.48,no,NASCAR,4,Montana
Honolulu HI,HI,West,70,30.04,no,NASCAR,1,Hawaii
Houston TX,TX,South,64.8,49.76,yes,NASCAR,2,Texas
Huntsville-Decatur (Florence) AL,AL,South,62.8,67.73,no,NASCAR,7,Alabama
Idaho Falls-Pocatello ID,ID,West,44.4,58.14,no,NASCAR,4,Idaho
Indianapolis IN,IN,North Central,51.7,54.95,yes,NASCAR,6,Indiana
Jackson MS,MS,South,63.4,49.42,no,NASCAR,4,Mississippi
Jackson TN,TN,South,57.6,68,yes,NASCAR,7,Tennessee
Jacksonville FL,FL,South,70.7,58.92,yes,NASCAR,5,Florida
Johnstown-Altoona PA,PA,Northeast,48.8,66.3,yes,NASCAR,6,Pennsylvania
Jonesboro AR,AR,South,60.4,68.79,no,NASCAR,7,Arkansas
Joplin MO-Pittsburg KS,KS,North Central,54.3,72.57,no,NASCAR,7,Kansas
Kansas City MO,MO,North Central,54.5,49.73,yes,NASCAR,4,Missouri
Knoxville TN,TN,South,57.6,70.6,yes,NASCAR,10,Tennessee
La Crosse-Eau Claire WI,WI,North Central,43.1,49.37,yes,NASCAR,6,Wisconsin
Lafayette IN,IN,North Central,51.7,51.7,yes,NASCAR,4,Indiana
Lafayette LA,LA,South,66.4,66.55,yes,NASCAR,3,Louisiana
Lake Charles LA,LA,South,66.4,68.47,yes,NASCAR,4,Louisiana
Lansing MI,MI,North Central,44.4,46.28,yes,NASCAR,5,Michigan
Laredo TX,TX,South,64.8,23.28,yes,NASCAR,1,Texas
Las Vegas NV,NV,West,49.9,42.47,no,NASCAR,3,Nevada
Lexington KY,KY,South,55.6,63.82,no,NASCAR,6,Kentucky
Lima OH,OH,North Central,50.7,72.08,yes,NASCAR,8,Ohio
Lincoln & Hastings-Kearney NE,NE,North Central,48.8,63.22,no,NASCAR,6,Nebraska
Little Rock-Pine Bluff AR,AR,South,60.4,58.17,no,NASCAR,4,Arkansas
Los Angeles CA,CA,West,59.4,31.7,yes,NASCAR,2,California
Louisville KY,KY,South,55.6,54.68,no,NASCAR,6,Kentucky
Lubbock TX,TX,South,64.8,69.69,yes,NASCAR,3,Texas
Macon GA,GA,South,63.5,54.2,yes,NASCAR,7,Georgia
Madison WI,WI,North Central,43.1,32.97,yes,NASCAR,7,Wisconsin
Mankato MN,MN,North Central,41.2,54.38,yes,NASCAR,4,Minnesota
Marquette MI,MI,North Central,44.4,55.34,yes,NASCAR,5,Michigan
Medford-Klamath Falls OR,OR,West,48.4,55.46,no,NASCAR,5,Oregon
Memphis TN,TN,South,57.6,47.36,yes,NASCAR,4,Tennessee
Meridian MS,MS,South,63.4,58.93,no,NASCAR,5,Mississippi
Miami-Ft. Lauderdale FL,FL,South,70.7,33.03,yes,NASCAR,2,Florida
Milwaukee WI,WI,North Central,43.1,46.14,yes,NASCAR,4,Wisconsin
Minneapolis-St. Paul MN,MN,North Central,41.2,44.33,yes,NASCAR,4,Minnesota
Minot-Bismarck-Dickinson(Williston) ND,ND,North Central,40.4,71.05,no,NASCAR,6,North Dakota
Missoula MT,MT,West,42.7,54.19,no,NASCAR,4,Montana
Mobile AL-Pensacola (Ft. Walton Beach) FL,FL,South,70.7,64.14,yes,NASCAR,6,Florida
Monroe LA-El Dorado AR,AR,South,60.4,63.82,no,NASCAR,5,Arkansas
Monterey-Salinas CA,CA,West,59.4,22.95,yes,NASCAR,2,California
Montgomery (Selma) AL,AL,South,62.8,50.2,no,NASCAR,5,Alabama
Nashville TN,TN,South,57.6,60.71,yes,NASCAR,6,Tennessee
New Orleans LA,LA,South,66.4,53.67,yes,NASCAR,3,Louisiana
New York NY,NY,Northeast,45.4,35.24,yes,NASCAR,2,New York
Norfolk-Portsmouth-Newport News VA,VA,South,55.1,44,no,NASCAR,5,Virginia
North Platte NE,NE,North Central,48.8,77.35,no,NASCAR,7,Nebraska
Odessa-Midland TX,TX,South,64.8,70.44,yes,NASCAR,4,Texas
Oklahoma City OK,OK,South,59.6,62.83,no,NASCAR,4,Oklahoma
Omaha NE,NE,North Central,48.8,55.34,no,NASCAR,5,Nebraska
Orlando-Daytona Beach-Melbourne FL,FL,South,70.7,49.22,yes,NASCAR,5,Florida
Ottumwa IA-Kirksville MO,MO,North Central,54.5,63.52,yes,NASCAR,11,Missouri
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,IL,North Central,51.8,71.45,yes,NASCAR,7,Illinois
Palm Springs CA,CA,West,59.4,44.73,yes,NASCAR,3,California
Panama City FL,FL,South,70.7,72.62,yes,NASCAR,7,Florida
Parkersburg WV,WV,South,51.8,69.63,no,NASCAR,11,West Virginia
Peoria-Bloomington IL,IL,North Central,51.8,52.81,yes,NASCAR,5,Illinois
Philadelphia PA,PA,Northeast,48.8,36.61,yes,NASCAR,3,Pennsylvania
Phoenix AZ,AZ,West,60.3,50.09,yes,NASCAR,3,Arizona
Pittsburgh PA,PA,Northeast,48.8,52.24,yes,NASCAR,4,Pennsylvania
Portland OR,OR,West,48.4,36.85,no,NASCAR,3,Oregon
Portland-Auburn ME,ME,Northeast,41,42.97,no,NASCAR,7,Maine
Presque Isle ME,ME,Northeast,41,55.54,no,NASCAR,9,Maine
Providence RI-New Bedford MA,MA,Northeast,47.9,40.21,yes,NASCAR,3,Massachusetts
Quincy IL-Hannibal MO-Keokuk IA,IA,North Central,47.8,68.03,no,NASCAR,7,Iowa
Raleigh-Durham (Fayetteville) NC,NC,South,59,40.6,yes,NASCAR,6,North Carolina
Rapid City SD,SD,North Central,45.2,66.94,no,NASCAR,5,South Dakota
Reno NV,NV,West,49.9,51.55,no,NASCAR,3,Nevada
Richmond-Petersburg VA,VA,South,55.1,44.06,no,NASCAR,6,Virginia
Roanoke-Lynchburg VA,VA,South,55.1,60.3,no,NASCAR,9,Virginia
Rochester MN-Mason City IA-Austin MN,MN,North Central,41.2,50.78,yes,NASCAR,6,Minnesota
Rochester NY,NY,Northeast,45.4,44.07,yes,NASCAR,4,New York
Rockford IL,IL,North Central,51.8,50.22,yes,NASCAR,5,Illinois
Sacramento-Stockton-Modesto CA,CA,West,59.4,40.26,yes,NASCAR,3,California
Salisbury MD,MD,South,54.2,57.38,yes,NASCAR,6,Maryland
Salt Lake City UT,UT,West,48.6,46.81,no,NASCAR,3,Utah
San Angelo TX,TX,South,64.8,74.12,yes,NASCAR,4,Texas
San Antonio TX,TX,South,64.8,49.36,yes,NASCAR,2,Texas
San Diego CA,CA,West,59.4,37.02,yes,NASCAR,2,California
San Francisco-Oakland-San Jose CA,CA,West,59.4,18.56,yes,NASCAR,2,California
Santa Barbara-Santa Maria-San Luis Obispo CA,CA,West,59.4,36.03,yes,NASCAR,2,California
Savannah GA,GA,South,63.5,54.52,yes,NASCAR,6,Georgia
Seattle-Tacoma WA,WA,West,48.3,32.15,yes,NASCAR,2,Washington
Sherman TX-Ada OK,OK,South,59.6,75.05,no,NASCAR,6,Oklahoma
Shreveport LA,LA,South,66.4,63.05,yes,NASCAR,5,Louisiana
Sioux City IA,IA,North Central,47.8,68.06,no,NASCAR,7,Iowa
Sioux Falls(Mitchell) SD,SD,North Central,45.2,61.41,no,NASCAR,6,South Dakota
South Bend-Elkhart IN,IN,North Central,51.7,58.42,yes,NASCAR,7,Indiana
Spokane WA,WA,West,48.3,56.02,yes,NASCAR,4,Washington
Springfield MO,MO,North Central,54.5,72.57,yes,NASCAR,7,Missouri
Springfield-Holyoke MA,MA,Northeast,47.9,34.52,yes,NASCAR,3,Massachusetts
St. Joseph MO,MO,North Central,54.5,64.68,yes,NASCAR,5,Missouri
St. Louis MO,MO,North Central,54.5,50.62,yes,NASCAR,4,Missouri
Syracuse NY,NY,Northeast,45.4,43.45,yes,NASCAR,6,New York
Tallahassee FL-Thomasville GA,GA,South,63.5,48.52,yes,NASCAR,5,Georgia
Tampa-St. Petersburg (Sarasota) FL,FL,South,70.7,52.1,yes,NASCAR,4,Florida
Terre Haute IN,IN,North Central,51.7,68.85,yes,NASCAR,9,Indiana
Toledo OH,OH,North Central,50.7,51.1,yes,NASCAR,7,Ohio
Topeka KS,KS,North Central,54.3,57.33,no,NASCAR,5,Kansas
Traverse City-Cadillac MI,MI,North Central,44.4,59.97,yes,NASCAR,8,Michigan
Tri-Cities TN-VA,VA,South,55.1,76.54,no,NASCAR,15,Virginia
Tucson (Sierra Vista) AZ,AZ,West,60.3,40.89,yes,NASCAR,3,Arizona
Tulsa OK,OK,South,59.6,65.59,no,NASCAR,5,Oklahoma
Twin Falls ID,ID,West,44.4,62.85,no,NASCAR,4,Idaho
Tyler-Longview(Lufkin & Nacogdoches) TX,TX,South,64.8,72.8,yes,NASCAR,5,Texas
Utica NY,NY,Northeast,45.4,57.47,yes,NASCAR,6,New York
Victoria TX,TX,South,64.8,68.36,yes,NASCAR,4,Texas
Waco-Temple-Bryan TX,TX,South,64.8,61.59,yes,NASCAR,4,Texas
Washington DC (Hagerstown MD),DC,Northeast,NA,29.9,yes,NASCAR,3,NA
Watertown NY,NY,Northeast,45.4,55.93,yes,NASCAR,8,New York
Wausau-Rhinelander WI,WI,North Central,43.1,55.86,yes,NASCAR,8,Wisconsin
West Palm Beach-Ft. Pierce FL,FL,South,70.7,45.87,yes,NASCAR,3,Florida
Wheeling WV-Steubenville OH,OH,North Central,50.7,67.75,yes,NASCAR,6,Ohio
Wichita Falls TX & Lawton OK,OK,South,59.6,73.72,no,NASCAR,5,Oklahoma
Wichita-Hutchinson KS,KS,North Central,54.3,65.22,no,NASCAR,5,Kansas
Wilkes Barre-Scranton PA,PA,Northeast,48.8,60.11,yes,NASCAR,8,Pennsylvania
Wilmington NC,NC,South,59,55.91,yes,NASCAR,8,North Carolina
Yakima-Pasco-Richland-Kennewick WA,WA,West,48.3,55.26,yes,NASCAR,3,Washington
Youngstown OH,OH,North Central,50.7,53.17,yes,NASCAR,5,Ohio
Yuma AZ-El Centro CA,CA,West,59.4,37.48,yes,NASCAR,3,California
Zanesville OH,OH,North Central,50.7,64.59,yes,NASCAR,10,Ohio
Abilene-Sweetwater TX,TX,South,64.8,79.13,yes,CBB,3,Texas
Albany GA,GA,South,63.5,59.12,yes,CBB,3,Georgia
Albany-Schenectady-Troy NY,NY,Northeast,45.4,44.11,yes,CBB,3,New York
Albuquerque-Santa Fe NM,NM,West,53.4,39.58,no,CBB,4,New Mexico
Alexandria LA,LA,South,66.4,69.64,yes,CBB,3,Louisiana
Alpena MI,MI,North Central,44.4,63.61,yes,CBB,7,Michigan
Amarillo TX,TX,South,64.8,77.54,yes,CBB,3,Texas
Atlanta GA,GA,South,63.5,47.58,yes,CBB,5,Georgia
Augusta GA,GA,South,63.5,52.77,yes,CBB,4,Georgia
Austin TX,TX,South,64.8,40.01,yes,CBB,3,Texas
Bakersfield CA,CA,West,59.4,53.54,yes,CBB,1,California
Baltimore MD,MD,South,54.2,39.28,yes,CBB,3,Maryland
Bangor ME,ME,Northeast,41,50.99,no,CBB,2,Maine
Baton Rouge LA,LA,South,66.4,54.96,yes,CBB,3,Louisiana
Beaumont-Port Arthur TX,TX,South,64.8,64.65,yes,CBB,2,Texas
Bend OR,OR,West,48.4,46.36,no,CBB,3,Oregon
"Billings, MT",MT,West,42.7,63.77,no,CBB,4,Montana
Biloxi-Gulfport MS,MS,South,63.4,67.78,no,CBB,3,Mississippi
Binghamton NY,NY,Northeast,45.4,53.49,yes,CBB,3,New York
Birmingham AL,AL,South,62.8,62.35,no,CBB,6,Alabama
Bluefield-Beckley-Oak Hill WV,WV,South,51.8,74.16,no,CBB,6,West Virginia
Boise ID,ID,West,44.4,55.59,no,CBB,4,Idaho
Boston MA-Manchester NH,NH,Northeast,43.8,35.4,no,CBB,2,New Hampshire
Bowling Green KY,KY,South,55.6,66.41,no,CBB,16,Kentucky
Buffalo NY,NY,Northeast,45.4,51.79,yes,CBB,2,New York
Burlington VT-Plattsburgh NY,NY,Northeast,45.4,34.79,yes,CBB,3,New York
Butte-Bozeman MT,MT,West,42.7,48.18,no,CBB,4,Montana
Casper-Riverton WY,WY,West,42,71.09,no,CBB,4,Wyoming
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,North Central,47.8,45.3,no,CBB,6,Iowa
Champaign & Springfield-Decatur IL,IL,North Central,51.8,55.92,yes,CBB,5,Illinois
Charleston SC,SC,South,62.4,48.74,no,CBB,5,South Carolina
Charleston-Huntington WV,WV,South,51.8,69.61,no,CBB,14,West Virginia
Charlotte NC,NC,South,59,53.45,yes,CBB,6,North Carolina
Charlottesville VA,VA,South,55.1,39.58,no,CBB,8,Virginia
Chattanooga TN,TN,South,57.6,68.63,yes,CBB,4,Tennessee
Cheyenne WY-Scottsbluff NE,NE,North Central,48.8,64.88,no,CBB,3,Nebraska
Chicago IL,IL,North Central,51.8,31.09,yes,CBB,4,Illinois
Chico-Redding CA,CA,West,59.4,56.06,yes,CBB,2,California
Cincinnati OH,OH,North Central,50.7,57.57,yes,CBB,10,Ohio
Clarksburg-Weston WV,WV,South,51.8,69.75,no,CBB,8,West Virginia
Cleveland-Akron (Canton) OH,OH,North Central,50.7,46.14,yes,CBB,2,Ohio
Colorado Springs-Pueblo CO,CO,West,45.1,55.71,yes,CBB,3,Colorado
Columbia SC,SC,South,62.4,61.12,no,CBB,4,South Carolina
Columbia-Jefferson City MO,MO,North Central,54.5,45.53,yes,CBB,5,Missouri
Columbus GA,GA,South,63.5,50.82,yes,CBB,6,Georgia
Columbus OH,OH,North Central,50.7,47.9,yes,CBB,5,Ohio
Columbus-Tupelo-West Point MS,MS,South,63.4,63.82,no,CBB,4,Mississippi
Corpus Christi TX,TX,South,64.8,51.18,yes,CBB,2,Texas
Dallas-Ft. Worth TX,TX,South,64.8,53.5,yes,CBB,3,Texas
Davenport IA-Rock Island-Moline IL,IL,North Central,51.8,49.45,yes,CBB,4,Illinois
Dayton OH,OH,North Central,50.7,58.66,yes,CBB,6,Ohio
Denver CO,CO,West,45.1,40.73,yes,CBB,3,Colorado
Des Moines-Ames IA,IA,North Central,47.8,49.64,no,CBB,7,Iowa
Detroit MI,MI,North Central,44.4,41.93,yes,CBB,6,Michigan
Dothan AL,AL,South,62.8,73.61,no,CBB,4,Alabama
Duluth MN-Superior WI,WI,North Central,43.1,44.08,yes,CBB,3,Wisconsin
El Paso TX,TX,South,64.8,28.53,yes,CBB,2,Texas
Elmira NY,NY,Northeast,45.4,62.86,yes,CBB,3,New York
Erie PA,PA,Northeast,48.8,53.78,yes,CBB,3,Pennsylvania
Eugene OR,OR,West,48.4,40.87,no,CBB,4,Oregon
Eureka CA,CA,West,59.4,34.44,yes,CBB,2,California
Evansville IN,IN,North Central,51.7,65.84,yes,CBB,19,Indiana
Fargo-Valley City ND,ND,North Central,40.4,56.78,no,CBB,3,North Dakota
Flint-Saginaw-Bay City MI,MI,North Central,44.4,51,yes,CBB,8,Michigan
Florence-Myrtle Beach SC,SC,South,62.4,56.54,no,CBB,5,South Carolina
Fresno-Visalia CA,CA,West,59.4,46.28,yes,CBB,2,California
Ft. Myers-Naples FL,FL,South,70.7,59.62,yes,CBB,5,Florida
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,South,60.4,63.21,no,CBB,5,Arkansas
Ft. Wayne IN,IN,North Central,51.7,64.98,yes,CBB,7,Indiana
Gainesville FL,FL,South,70.7,44.27,yes,CBB,5,Florida
Glendive MT,MT,West,42.7,77.21,no,CBB,3,Montana
Grand Junction-Montrose CO,CO,West,45.1,64.91,yes,CBB,3,Colorado
Grand Rapids-Kalamazoo-Battle Creek MI,MI,North Central,44.4,52.87,yes,CBB,10,Michigan
Great Falls MT,MT,West,42.7,59.38,no,CBB,3,Montana
Green Bay-Appleton WI,WI,North Central,43.1,55.8,yes,CBB,3,Wisconsin
Greensboro-High Point-Winston Salem NC,NC,South,59,54.19,yes,CBB,9,North Carolina
Greenville-New Bern-Washington NC,NC,South,59,55.91,yes,CBB,7,North Carolina
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,South,62.4,61.19,no,CBB,6,South Carolina
Greenwood-Greenville MS,MS,South,63.4,38.45,no,CBB,4,Mississippi
Harlingen-Weslaco-Brownsville-McAllen TX,TX,South,64.8,29,yes,CBB,1,Texas
Harrisburg-Lancaster-Lebanon-York PA,PA,Northeast,48.8,59.18,yes,CBB,3,Pennsylvania
Harrisonburg VA,VA,South,55.1,61.24,no,CBB,5,Virginia
Hartford & New Haven CT,CT,Northeast,59,41.93,no,CBB,3,Connecticut
Hattiesburg-Laurel MS,MS,South,63.4,65.41,no,CBB,3,Mississippi
Helena MT,MT,West,42.7,51.48,no,CBB,4,Montana
Honolulu HI,HI,West,70,30.04,no,CBB,3,Hawaii
Houston TX,TX,South,64.8,49.76,yes,CBB,2,Texas
Huntsville-Decatur (Florence) AL,AL,South,62.8,67.73,no,CBB,5,Alabama
Idaho Falls-Pocatello ID,ID,West,44.4,58.14,no,CBB,3,Idaho
Indianapolis IN,IN,North Central,51.7,54.95,yes,CBB,7,Indiana
Jackson MS,MS,South,63.4,49.42,no,CBB,4,Mississippi
Jackson TN,TN,South,57.6,68,yes,CBB,5,Tennessee
Jacksonville FL,FL,South,70.7,58.92,yes,CBB,3,Florida
Johnstown-Altoona PA,PA,Northeast,48.8,66.3,yes,CBB,3,Pennsylvania
Jonesboro AR,AR,South,60.4,68.79,no,CBB,5,Arkansas
Joplin MO-Pittsburg KS,KS,North Central,54.3,72.57,no,CBB,6,Kansas
Kansas City MO,MO,North Central,54.5,49.73,yes,CBB,8,Missouri
Knoxville TN,TN,South,57.6,70.6,yes,CBB,7,Tennessee
La Crosse-Eau Claire WI,WI,North Central,43.1,49.37,yes,CBB,4,Wisconsin
Lafayette IN,IN,North Central,51.7,51.7,yes,CBB,8,Indiana
Lafayette LA,LA,South,66.4,66.55,yes,CBB,3,Louisiana
Lake Charles LA,LA,South,66.4,68.47,yes,CBB,2,Louisiana
Lansing MI,MI,North Central,44.4,46.28,yes,CBB,16,Michigan
Laredo TX,TX,South,64.8,23.28,yes,CBB,1,Texas
Las Vegas NV,NV,West,49.9,42.47,no,CBB,4,Nevada
Lexington KY,KY,South,55.6,63.82,no,CBB,35,Kentucky
Lima OH,OH,North Central,50.7,72.08,yes,CBB,5,Ohio
Lincoln & Hastings-Kearney NE,NE,North Central,48.8,63.22,no,CBB,5,Nebraska
Little Rock-Pine Bluff AR,AR,South,60.4,58.17,no,CBB,4,Arkansas
Los Angeles CA,CA,West,59.4,31.7,yes,CBB,3,California
Louisville KY,KY,South,55.6,54.68,no,CBB,27,Kentucky
Lubbock TX,TX,South,64.8,69.69,yes,CBB,3,Texas
Macon GA,GA,South,63.5,54.2,yes,CBB,4,Georgia
Madison WI,WI,North Central,43.1,32.97,yes,CBB,5,Wisconsin
Mankato MN,MN,North Central,41.2,54.38,yes,CBB,3,Minnesota
Marquette MI,MI,North Central,44.4,55.34,yes,CBB,4,Michigan
Medford-Klamath Falls OR,OR,West,48.4,55.46,no,CBB,3,Oregon
Memphis TN,TN,South,57.6,47.36,yes,CBB,5,Tennessee
Meridian MS,MS,South,63.4,58.93,no,CBB,5,Mississippi
Miami-Ft. Lauderdale FL,FL,South,70.7,33.03,yes,CBB,2,Florida
Milwaukee WI,WI,North Central,43.1,46.14,yes,CBB,4,Wisconsin
Minneapolis-St. Paul MN,MN,North Central,41.2,44.33,yes,CBB,3,Minnesota
