sudoku_experience,sudoku_treatment,sudoku_time,grilled_cheese,MSCS_major,MSCS_courses,COMP_123,preferred_walk,sleep,credits,school_year,age,star_wars_iv,star_wars_v,star_trek
intermediate_advanced,numbers,127,yum,No,2,No,woods,8,94,Junior,255,Yes,Yes,Yes
intermediate_advanced,greek letters,222,yum,Yes,12,Yes,woods,7,16,Junior,251,No,No,Yes
intermediate_advanced,symbols,82,yum,No,4,Yes,woods,8,165,Senior,264,No,No,No
intermediate_advanced,numbers,285,yum,No,2,No,woods,7,64,Sophomore,239,Yes,Yes,No
intermediate_advanced,numbers,285,yum,No,2,No,woods,7,64,Sophomore,239,Yes,Yes,No
intermediate_advanced,numbers,157,yum,No,1,No,woods,8,109,Junior,247,Yes,Yes,No
intermediate_advanced,numbers,90,yum,No,1,No,woods,8.5,18,Sophomore,238,Yes,Yes,No
intermediate_advanced,greek letters,280,yum,Yes,6,No,woods,7,83,Sophomore,243,Yes,Yes,No
intermediate_advanced,symbols,200,yum,No,5,No,woods,8.5,64,Sophomore,236,Yes,Yes,Yes
intermediate_advanced,numbers,73,yum,No,7,Yes,woods,7,119,Junior,252,Yes,Yes,No
intermediate_advanced,greek letters,725,yuk,Yes,7,Yes,beach,7.1,65,Sophomore,242,No,No,No
intermediate_advanced,greek letters,210,yum,No,3,No,beach,7,52,First year,227,No,No,No
intermediate_advanced,numbers,189,yum,Yes,4,Yes,woods,8.5,88,Sophomore,239,Yes,Yes,Yes
intermediate_advanced,symbols,208,yum,Yes,6,Yes,woods,9,84,Sophomore,237,Yes,Yes,Yes
beginner,symbols,239,yum,No,0,No,beach,8,108,Junior,247,Yes,Yes,Yes
intermediate_advanced,greek letters,400,yum,No,2,No,woods,7.5,16,First year,228,No,No,Yes
intermediate_advanced,greek letters,83,yum,No,2,No,woods,7,34,First year,223,No,No,No
intermediate_advanced,symbols,203,yum,Yes,18,Yes,woods,8,141,Senior,263,Yes,Yes,Yes
intermediate_advanced,symbols,284,yum,No,2,No,woods,8,97,Junior,254,No,No,No
intermediate_advanced,symbols,227,meh,No,1,No,beach,7.5,16,Senior,263,No,No,No
intermediate_advanced,greek letters,238,yum,Yes,4,Yes,woods,9,16,Sophomore,228,Yes,Yes,Yes
beginner,numbers,60,meh,No,2,No,beach,8,17,Junior,240,Yes,Yes,Yes
intermediate_advanced,symbols,140,yum,No,1,No,woods,7,16,First year,225,No,No,No
beginner,symbols,532,meh,No,2,No,beach,6,32,First year,226,No,No,No
intermediate_advanced,numbers,83,yuk,No,3,Yes,beach,7,67,Sophomore,241,Yes,Yes,No
intermediate_advanced,greek letters,557,meh,No,0,No,beach,8,24,First year,231,Yes,Yes,Yes
intermediate_advanced,greek letters,226,yum,No,1,No,beach,6,60,Sophomore,235,No,No,No
intermediate_advanced,numbers,73,yum,Yes,5,Yes,beach,1.5,64,Sophomore,242,No,No,No
intermediate_advanced,greek letters,175,yuk,No,2,No,beach,6,24,First year,227,Yes,Yes,No
beginner,symbols,148,yum,No,4,Yes,beach,6,16,Junior,262,No,No,No
intermediate_advanced,numbers,164,yum,No,1,No,woods,8,82,Sophomore,237,Yes,Yes,Yes
intermediate_advanced,symbols,216,yum,No,1,No,woods,9,18,Sophomore,239,No,No,Yes
intermediate_advanced,symbols,122,yum,No,2,No,woods,8,96,Junior,260,No,No,No
intermediate_advanced,numbers,132,yum,No,1,No,beach,7,64,Sophomore,242,Yes,Yes,No
intermediate_advanced,numbers,85,meh,No,3,No,beach,7.25,64,Sophomore,235,No,No,Yes
intermediate_advanced,greek letters,422,yum,No,2,No,woods,6.5,,Sophomore,240,Yes,Yes,Yes
beginner,greek letters,221,yum,No,1,No,woods,,126,Senior,264,Yes,Yes,Yes
beginner,greek letters,364,yum,No,0,No,woods,7,,First year,218,Yes,Yes,No
beginner,numbers,310,meh,Yes,9,Yes,woods,3,119,Senior,303,No,No,No
beginner,symbols,85,meh,No,8,Yes,woods,6,72,Sophomore,232,No,No,Yes
beginner,greek letters,607,yum,No,0,No,beach,6,52,First year,232,No,No,Yes
intermediate_advanced,greek letters,317,meh,No,1,No,woods,7,32,First year,223,Yes,Yes,No
intermediate_advanced,greek letters,199,meh,No,1,No,beach,7,16,Junior,250,No,No,No
beginner,numbers,101,yum,No,1 (counting this one),No,woods,6,94,Sophomore,236,Yes,Yes,Yes